Filename,Morphology,Habitat,Interactions,Life history,Physiology, Behavior,Annotator,Done,Notes
Ahmad2024,X,,X,,,,Francisco,X,"replace measurementType acronyms; holotype not a trait, Old template, Single observation and single observation in dropdown, type in sex, please use the dropdown values, measurementValue to long, associatedOccurrenceswrongly used
"
Ambrozova2022,X,X,X,X,,X,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
AmbspergTraun1991,,X,X,,,,Francisco,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Araujo2021,X,X,X,,\,X,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Arnan2012,X,,X,X,X,X,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Arnan2014,X,,X,,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Arnold2017,X,,,X,,X,,,
Attiwilli2022,X,,,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Baine2024,X,,,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Banaszak-Cibicka2018,X,X,X,,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Barber2017,X,,X,,,X,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Barragan2012,X,X,,,,X,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
BarrosSantos2024,X,,X,X,X,X,,,
Batista2024,X,,,,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Beyer2021,X,,X,,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Blackmer1993,,,,X,,X,,,
Boetzl2024,X,,X,,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Borges2024,,,,X,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Brant2021,X,X,,,,,Alexandra,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Braschler2021,X,X,X,X,X,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Brasil2024,X,,X,X,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Bucher2024,X,X,X,X,,,Ísis,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Buchwalter2008,X,,,,X,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Burrows2008,X,,,,,X,,,
Buzzone2008,X,,,,,X,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Cady1993,,,X,X,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Cajaiba2022,,X,X,,,,Bruno,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Cajaiba2023,,X,X,,,,Alexandra,X,Mariana Mora: OK; Mariana Mora Double Check: OK
CamargoVanegas2024,X,,,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Campbell2022,X,,X,,,X,Ísis,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Cao2024,X,,X,,,X,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Castro2020,X,X,X,,,,,,
Cappellari2022,X,,X,,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Cawood2026,X,X,X,,,X,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Cecala2021,,X,X,,,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Cereghino2011,X,,X,X,X,X,,,
Cecala2021,,X,X,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Cerini2023,X,X,,X,,X,Alexandra,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Chichorro2022,X,X,X,X,,X,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Correa2021,X,X,X,,,,David,,"externalLink wrongly used,; David: corrected"
Cortés-Goméz2023,X,,X,,,X,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
CortesGomez2023,X,X,X,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Costa 2017,X,,,,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Coudriet1986,,,X,X,,,,,
Crabot2022,X,X,,X,,X,David,,
DalPos2024,X,,,,,,Francisco,X,replace measurementType acronyms
Davis1942,X,,,,,,,,
DawesGromadzki2008,,X,X,,,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Dejean2019,,X,,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
DelToro2015,X,X,X,,,X,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Derhe2016,X,X,X,,,X,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Eckert2023,X,X,X,,,,Bruno,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Eskilden2015,X,X,X,X,,X,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Espinosa2023,X,,,,X,X,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Essens2017,,X,,,,,Ana ,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Ferrari2024,X,,,,,,Bruno,,
Fiedler2021,,,X,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Figueroa2021,X,,X,,,X,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Fondjo2024,X,,,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Fontanilla2019,X,,,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Forrest2015,X,X,X,X,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
FountainJones2017,X,X,,X,,,Ísis,,
Franzen2025,X,,,,,X,Francisco,X,Mariana Mora: OK; Mariana Mora Double Check: OK
GarciaAtencia2024,X,,X,,,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Gathof2022,X,X,X,X,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Geraghty2007,X,,X,,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Gibb2005,X,,,,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
GibbParr2013,X,,,,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Gobbi2017,X,,X,,,X,David,,
Gomez2022,X,X,X,,X,X,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Gomez2022,X,,,,,,Francisco,X,replace measurementType acronyms Moreover why are there apparent ranges classified as mean and vice versa?
Gonzalez2016,X,,,,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Gossner2013,X,X,,,,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Graf2021,,,X,,,X,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
