Species,Plot,Elevation,sex,bodysize,headlenth,headwidth,thoraxlenth,thoraxwidth,elytralenth,bodywidth,femur,tibia,antenna,hindwing,leglenth
Nicrophorus quadripunctatus ,1,800,1,19.61727,5.50862,4.20407,4.60865,5.42353,9.5,6.94948,4.88181,4.5256,4.34037,20.21708,9.40741
Silpha perforata,1,800,1,20.98307,3.63354,2.80868,5.34953,8.16392,12,8.61111,4.67607,3.96849,5.43001,2.34443,8.64456
Silpha perforata,1,800,0,22.08071,3.64164,2.71372,5.43907,8.36276,13,10.5,4.54626,5.39092,5.4569,2.03381,9.93718
Nicrophorus quadripunctatus ,2,800,0,17.40299,3.86145,3.60594,4.4125,5.19792,9.12904,6.9702,3.53074,4.28406,3.9186,25,7.8148
Nicrophorus tenuipes,2,800,0,18.6007,5.03696,3.76358,4.08279,5.50337,9.48095,7.17462,5.00403,4.58323,4.33242,22.5,9.58726
Nicrophorus investigator ,2,800,0,21.37597,4.95185,4.09319,4.92412,6.54727,11.5,8.67708,4.94048,3.98389,4.27545,24,8.92437
Nicrophorus quadripunctatus ,3,800,0,18.04449,3.89811,3.75178,4.6143,5.43608,9.53208,6.9636,4.68248,4.16392,4.17546,20,8.8464
Nicrophorus quadripunctatus ,3,800,0,17.11396,4.33768,3.5261,4.06935,5.0519,8.70693,7.09272,4.35162,4.01936,3.95804,19,8.37098
Nicrophorus quadripunctatus ,3,800,0,13.03368,2.99214,2.80979,3.44949,4.09535,6.59205,5.52801,3.75349,3.41712,3.21405,16,7.17061
Nicrophorus quadripunctatus ,3,800,0,15.55867,3.87996,2.98702,3.57221,4.75225,8.1065,6.22965,3.92767,3.80412,4.04225,16.5,7.73179
Nicrophorus quadripunctatus ,3,800,0,14.28079,3.36676,2.93586,3.5784,4.31927,7.33563,5.80271,3.46973,3.12948,3.1791,15.5,6.59921
Silpha perforata,3,800,1,18.97122,3.15603,2.78065,5.42474,8.34176,10.39045,8.75169,5.04245,5.13601,6.64899,2.15515,10.17846
Silpha perforata,3,800,1,19.67078,3.70954,2.85849,5.45925,8.60885,10.50199,8.55141,5.49427,3.88209,6.33603,1.5756,9.37636
Silpha perforata,3,800,1,19.72289,3.28622,2.8309,5.13804,8.27213,11.29863,8.14492,5.15834,4.9597,6.36428,1.72914,10.11804
Silpha perforata,3,800,0,20.48962,3.63701,3.0733,4.9362,8.15737,11.91641,8.73817,5.18803,4.94166,5.89953,1.05503,10.12969
Nicrophorus tenuipes,3,800,1,16.85138,4.49523,3.56868,4.02999,4.79871,8.32616,6.49356,4.54192,4.33492,4.16547,19,8.87684
Nicrophorus tenuipes,3,800,1,18.38268,4.94207,4.21685,4.42235,5.75365,9.01826,6.98377,4.73146,5.00548,4.79737,22,9.73694
Nicrophorus maculifrons,3,800,0,17.89926,4.09255,3.66009,4.30324,5.14544,9.50347,7.00075,4.08917,3.99829,3.63504,21,8.08746
Nicrophorus quadripunctatus ,4,800,0,15.13584,3.41175,3.10546,3.76781,4.50873,7.95628,6.14622,3.62642,3.9927,3.59345,17,7.61912
Nicrophorus quadripunctatus ,4,800,0,15.44726,3.6637,3.18695,3.59877,4.49898,8.18479,6.04113,3.67491,3.8578,3.58566,17,7.53271
Nicrophorus quadripunctatus ,4,800,0,17.44209,4.20842,3.43956,3.99772,4.92204,9.23595,6.72467,4.29423,4.4324,3.71669,18.5,8.72663
Nicrophorus quadripunctatus ,4,800,0,16.51831,3.88968,3.49647,4.17161,4.90249,8.45702,6.09122,4.10376,3.87488,3.75011,17.5,7.97864
Nicrophorus quadripunctatus ,4,800,0,14.2154,3.14912,2.89543,3.61297,4.02539,7.45331,5.75588,3.38123,3.47619,3.43353,15,6.85742
Nicrophorus tenuipes,4,800,0,22.58053,5.84802,4.71959,5.15098,6.85585,11.58153,8.39902,7.13471,5.63988,5.54269,25,12.77459
Nicrophorus concolor,4,800,0,30.88245,7.06082,6.2103,8.00987,10.18579,15.81176,12.35027,6.93644,6.2653,6.92915,32,13.20174
Nicrophorus quadripunctatus ,5,800,0,15.06766,3.77808,3.1069,3.51782,4.58248,7.77176,6.1365,3.79454,3.95206,3.32753,17,7.7466
Silpha perforata,5,800,1,18.40127,2.84004,2.78843,5.02417,8.15958,10.53706,8.24648,5.24423,4.93685,6.18906,1.37617,10.18108
Silpha perforata,5,800,1,19.07,3.01764,2.77125,4.97723,7.88485,11.07513,8.544,5.07346,4.96188,5.91801,1.18303,10.03534
Nicrophorus quadripunctatus ,6,800,1,12.47964,2.99268,2.5337,3.07383,3.68957,6.41313,4.841,2.959,3.16328,3.04512,14,6.12228
Nicrophorus quadripunctatus ,6,800,1,16.52247,4.18305,3.84373,4.0327,4.92868,8.30672,5.97296,4.55161,3.89321,4.37079,17.2,8.44482
Nicrophorus quadripunctatus ,6,800,0,15.91636,3.52024,3.37728,3.9921,4.69441,8.40402,6.53634,4.01088,4.05066,3.99982,17.5,8.06154
Nicrophorus quadripunctatus ,6,800,0,17.14107,4.2158,3.48595,4.3532,5.16138,8.57207,6.55802,4.34347,3.86459,3.88753,18,8.20806
Nicrophorus quadripunctatus ,6,800,0,17.85891,3.77065,3.53896,5.207,4.39227,8.88126,6.66286,4.19707,3.77532,3.95972,18.2,7.97239
Silpha perforata,6,800,0,21.56379,2.57864,2.93933,5.73002,8.69706,13.25513,8.99464,5.24969,5.2579,6.38202,1.14849,10.50759
Silpha perforata,6,800,0,18.63336,2.78055,2.75247,4.9553,7.74674,10.89751,8.77628,4.76758,4.61262,5.78625,1.65781,9.3802
Nicrophorus maculifrons,6,800,0,18.52717,4.20015,3.74558,4.54215,5.57145,9.78487,7.52131,4.34641,4.25041,4.36166,22.6,8.59682
Nicrophorus quadripunctatus ,7,800,1,19.56601,5.22231,4.47299,4.56681,5.6742,9.77689,7.49287,4.29136,4.12727,4.46552,20,8.41863
Nicrophorus tenuipes,7,800,1,17.15883,4.30673,3.58183,4.08725,5.03912,8.76485,6.60544,3.64105,4.6456,4.15228,19,8.28665
Nicrophorus tenuipes,7,800,0,17.76341,4.30584,3.79022,4.17329,5.28801,9.28428,7.23014,4.61783,4.65319,4.29442,21,9.27102
Nicrophorus tenuipes,7,800,0,18.07118,4.22274,3.88353,4.3123,5.46111,9.53614,7.33362,5.28614,4.92344,4.50226,20.8,10.20958
Nicrophorus tenuipes,7,800,0,20.26087,5.10451,4.25652,4.77751,6.19176,10.37885,7.95002,5.56289,5.36218,4.93612,22,10.92507
Nicrophorus tenuipes,7,800,0,21.81042,5.33789,4.64511,5.12742,6.52422,11.34511,8.37021,5.63137,5.90728,5.00649,24,11.53865
Nicrophorus concolor,7,800,1,32.34235,7.73642,6.2882,8.65394,10.52942,15.95199,12.86098,7.18783,6.63127,6.53816,37,13.8191
Nicrophorus quadripunctatus ,1,950,0,18.24233,4.23176,3.817,4.58323,5.46958,9.42734,6.83065,4.44899,4.47328,4.49253,19.3,8.92227
Nicrophorus quadripunctatus ,3,950,1,18.61152,4.89773,4.36552,4.45601,5.76096,9.25778,7.91053,4.49918,4.09118,4.57223,19,8.59036
Nicrophorus tenuipes,3,950,1,17.44277,4.33974,3.88823,4.28404,5.34028,8.81899,6.90404,4.52349,4.80874,4.45357,20,9.33223
Nicrophorus tenuipes,3,950,0,20.56215,4.77451,3.99107,5.99489,4.73053,9.79275,7.5767,5.14211,5.30877,4.64511,22,10.45088
Nicrophorus tenuipes,3,950,0,19.07878,4.84339,3.92931,4.5747,5.63676,9.66069,7.62798,5.0902,5.13299,4.02585,22,10.22319
Nicrophorus tenuipes,3,950,0,21.322,5.21058,4.56449,4.94732,6.27225,11.1641,8.3697,6.58087,5.4823,5.1772,23.5,12.06317
Nicrophorus tenuipes,3,950,0,22.17692,5.31634,4.69382,5.56164,6.76691,11.29894,8.31358,6.11451,5.68793,5.51569,24.5,11.80244
Nicrophorus maculifrons,3,950,1,21.67738,5.60133,4.90795,5.03029,6.53765,11.04576,8.22209,5.20803,5.04557,5.0101,24,10.2536
Nicrophorus maculifrons,3,950,0,19.81179,4.54534,3.86586,4.7388,5.58462,10.52765,7.32032,4.47273,4.1022,3.96157,22.5,8.57493
Nicrophorus maculifrons,3,950,0,20.46037,4.71145,4.26207,4.90772,6.15258,10.8412,7.77808,4.97926,4.68052,4.62649,24,9.65978
