Species,N,HL Mean,HL SD,HW Mean,HW SD,ML Mean,ML SD,SL Mean,SL SD,EL Mean,EL SD,DI Mean,DI SD,FL Mean,FL SD,WL Mean,WL SD
Acromyrmex santschii,4,1.237,0.356,1.369,0.471,0.945,0.45,1.123,0.482,0.196,0.095,1.28,0.446,1.855,0.748,1.685,0.499
Acropyga fuhrmanni,4,0.453,0.023,0.462,0.014,0.341,0.067,0.331,0.03,0.037,0.006,0.396,0.05,0.366,0.017,0.525,0.007
Acropyga smithii,4,0.348,0.006,0.369,0.006,0.262,0.045,0.201,0.013,0.019,0.012,0.228,0.038,0.194,0.006,0.395,0.015
Adelomyrmex myops,4,0.616,0.033,0.558,0.025,0.348,0.038,0.37,0,0.04,0.006,0.529,0.091,0.431,0.023,0.616,0.033
Alfaria minuta,4,1.008,0.019,0.898,0.083,0.777,0.084,0.69,0.285,0.081,0.008,0.786,0.18,0.897,0.084,1.324,0.126
Anochetus diegensis,8,1.253,0.027,1.079,0.027,0.771,0.041,0.971,0.132,0.16,0.011,0.873,0.095,1.138,0.039,1.628,0.029
Anochetus inermis,4,1.116,0.052,0.976,0.044,0.675,0.026,0.924,0.228,0.198,0.014,0.762,0.064,1.092,0.083,1.572,0.103
Apterostigma dentrigerum,1,1.174,,0.891,,0.674,,1.261,,0.217,,0.891,,,,2,,,,2,
Apterostigma pilosum,8,0.864,0.042,0.683,0.063,0.532,0.061,0.626,0.16,0.139,0.014,0.665,0.096,1.128,0.056,1.302,0.014
Apterostygma pariense,1,1.174,,0.87,,0.674,,1.152,,0.217,,0.804,,,,1.957,,,,1.913,
Atta columbica,1,1.5,,,1.535,,1.371,,0.613,,0.248,,1.412,,,,2.1,,,,1.707,
Azteca sp. 1,1,0.78,,0.743,,0.489,,0.2,,0.157,,0.613,,,,0.527,,,,0.89,
Brachymyrmex aphidicola,4,0.418,0.007,0.374,0.004,0.254,0.033,0.253,0.114,0.093,0.006,0.421,0.089,0.442,0.006,0.439,0.004
Brachymyrmex minutus,4,0.28,0.004,0.324,0.003,0.194,0.059,0.256,0.16,0.082,0.007,0.301,0.088,0.388,0.004,0.345,0.004
Camponotus sp. 1,3,1.112,0.004,1.048,0.007,0.578,0.11,0.851,0.488,0.394,0.004,0.928,0.39,1.287,0.007,1.674,0
Camponotus sp. 3,3,1.117,0.007,1.045,0.016,0.624,0.083,0.715,0.407,0.389,0.028,1.067,0.277,1.302,0.019,1.661,0.05
Camponotus sp. 7,1,1.486,,,1.255,,1.08,,0.53,,0.287,,,,2,,,,1.524,,,,1.813,
Camponotus striatus,1,0.739,,,0.696,,0.326,,0.761,,0.217,,0.565,,,,0.717,,,,0.978,
