basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Mastotermes darwiniensis Froggatt,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Mastotermes darwiniensis Froggatt,Nesting group,,wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Mastotermes darwiniensis Froggatt,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Coptotermes acinaciformis Froggatt,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Coptotermes acinaciformis Froggatt,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Coptotermes acinaciformis Froggatt,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Coptotermes acinaciformis Froggatt,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Coptotermes acinaciformis Froggatt,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Schedorhinotermes actuosus,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Schedorhinotermes actuosus,Nesting group,,hypogeal,,mode,,both,adult,,,,,,,,,,,
Occurrence,Schedorhinotermes actuosus,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Schedorhinotermes actuosus,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Schedorhinotermes actuosus,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Schedorhinotermes actuosus,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Heterotermes vagus,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Heterotermes vagus,Nesting group,,hypogeal,,mode,,both,adult,,,,,,,,,,,
Occurrence,Heterotermes vagus,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Heterotermes venustus,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Heterotermes venustus,Nesting group,,hypogeal,,mode,,both,adult,,,,,,,,,,,
Occurrence,Heterotermes venustus,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amitermes perelegans,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),soil,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amitermes perelegans,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amitermes perelegans,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes melachoma Miller,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood/soil interface,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes melachoma Miller,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Ephelotermes melachoma Miller,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes taylori,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood/soil interface,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes taylori,Nesting group,,hypogeal,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes taylori,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
Occurrence,Ephelotermes taylori,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Ephelotermes taylori,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Ephelotermes taylori,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Macrognathotermes errator Miller,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),soil,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Macrognathotermes errator Miller,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
Occurrence,Macrognathotermes errator Miller,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Macrognathotermes sunteri,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood/soil interface,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Macrognathotermes sunteri,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
Occurrence,Macrognathotermes sunteri,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes boreus Hill,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes boreus Hill,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Microcerotermes boreus Hill,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Microcerotermes boreus Hill,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Microcerotermes boreus Hill,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Microcerotermes boreus Hill,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes serratus,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes serratus,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Microcerotermes serratus,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Microcerotermes serratus,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes nervosus Hill,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes nervosus Hill,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Microcerotermes nervosus Hill,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes eucalypti,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood/soil interface,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes eucalypti,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
Occurrence,Nasutitermes eucalypti,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Nasutitermes eucalypti,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
Occurrence,Nasutitermes eucalypti,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes graveolus,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes graveolus,Nesting group,,arboreal,,mode,,both,adult,,,,,,,,,,,
Occurrence,Nasutitermes graveolus,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes longipennis,Feeding group,Assignment based on literature and in situ observations (direct search and bait sampling),polyphagous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes longipennis,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Nasutitermes longipennis,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
Occurrence,Nasutitermes longipennis,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
