basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,A. vilhenae,Left wing length,"Abdomen_scopa(Silveira & Almeida, 2002)",7.32,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,A. vilhenae,ITS,"Abdomen_scopa(Silveira & Almeida, 2002)",3.03,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,A. vilhenae,Left posterior tibia length,"Abdomen_scopa(Silveira & Almeida, 2002)",1.78,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,A. vilhenae,Nesting material,"Abdomen_scopa(Silveira & Almeida, 2002)",resine and plants,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,A. vilhenae,Tongue length,"Abdomen_scopa(Silveira & Almeida, 2002)",1.05,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,C. trigonoides,Left wing length,"Leg_scopa(Buchmann, 2004)",10.24,mm,individual,,both,adult,,,,,,,,,,,
PreservedSpecimen,C. trigonoides,ITS,"Leg_scopa(Buchmann, 2004)",4.19,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,C. trigonoides,Left posterior tibia length,"Leg_scopa(Buchmann, 2004)",5.19,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,C. trigonoides,Nesting material,"Leg_scopa(Buchmann, 2004)",sand and resine,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,C. trigonoides,Tongue length,"Leg_scopa(Buchmann, 2004)",2.67,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,C. analis,Left wing length,"Leg_scopa(Buchmann, 2004)",9.04,mm,individual,,both,adult,,,,,,,,,,,
