cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Polistes guadeloupensis,Body Size,2.53,,P. guadulpensis,0.70,severe,species not extracted at all
"species present, trait missing",Centris tarsata,Body Size,3.89,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polistes egregium,Body Size,2.4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile sejuncta,Body Size,3.41,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Auplopus sp1,Body Size,1.63,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Priochilus sp2,Left mandibula,1.02,1.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Centris trigonoides,Elevation,254,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Priochilus sp2,Elevation,254,,,,moderate,the trait was not extracted for this species
species not in prediction,Polistes guadeloupensis,Left tibia posterior,2.18,,P. guadulpensis,0.70,severe,species not extracted at all
"species present, trait missing",Euglossa towsendi,Body Size,4.29,,,,moderate,the trait was not extracted for this species
species not in prediction,Polistes guadeloupensis,Left mandibula,1.37,,P. guadulpensis,0.70,severe,species not extracted at all
"species present, trait missing",Megachile brasiliensis,Pollen transport,Abdomen scopa,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Monobia angulosa,Elevation,254,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pisonia grandis,Body Size,2.03,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trypoxylon xanthandrum,Elevation,254,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile chrysosarus,Pollen transport,Abdomen scopa,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile brasiliensis,Elevation,254,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile turpis,Pollen transport,Abdomen scopa,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Priochilus sp1,Body Size,2.09,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trypoxylon lactitarse,Body Size,2.59,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile chrysosarus,Elevation,254,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Isodontia sp1,Body Size,2.64,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile turpis,Elevation,254,,,,moderate,the trait was not extracted for this species
species not in prediction,Polistes guadeloupensis,Left wing length,8.11,,P. guadulpensis,0.70,severe,species not extracted at all
"species present, trait missing",Polistes rufipes,Body Size,2.86,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Zeta smithii,Body Size,3.12,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pachodynerus brevithorax,Elevation,254,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tetrapedia sp2,Pollen transport,Leg scopa,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Monobia angulosa,Body Size,3.96,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polistes agile,Elevation,254,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polistes surinama,Body Size,2.24,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trypoxylon nitidum,Elevation,254,,,,moderate,the trait was not extracted for this species
