basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Linepithema humile,Worker length,,2.4,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Linepithema humile,Polymorphism,,Monomorphism,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,Colony population,Data compiled from literature and personal communications,Tens of thousands of workers,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,Brood cycle,,Larvae within the nests during the whole year,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,N queens per colony,Data compiled from literature and personal communications,More than one queen,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,N nests per colony,Classification based on literature and personal communications,More than one nest,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,Main food resource,,Aphid-tending species,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,Defense of resources,"Observation of interspecific interactions (expulsion, escape, coexistence) at food baits",Defence of food or territory (foraging area),,mode,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,Number workers/bait,,40,count,mean,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,Daily rhythm,,Continuous in spring and nocturnal in summer,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,Month of peak activity,"Month of highest frequency of ants at baits, assessed throughout the year",September,,mode,,both,adult,,,,,,,,,,,
LivingSpecimen,Linepithema humile,Critical thermal maximum,,40,°C,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Linepithema humile,Maximal activity temperature,,20,°C,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma nigerimum,Worker length,,4.0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma nigerimum,Polymorphism,,Low polymorphism,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma nigerimum,Colony population,Data compiled from literature and personal communications,Tens of thousands of workers,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma nigerimum,Brood cycle,,Larvae within the nests during the whole year,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma nigerimum,N queens per colony,Data compiled from literature and personal communications,More than one queen,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma nigerimum,N nests per colony,Classification based on literature and personal communications,More than one nest,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma nigerimum,Main food resource,,Aphid-tending species,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma nigerimum,Defense of resources,"Observation of interspecific interactions (expulsion, escape, coexistence) at food baits",Defence of food or territory (foraging area),,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma nigerimum,Number workers/bait,,43,count,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma nigerimum,Daily rhythm,,Continuous in spring and nocturnal in summer,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma nigerimum,Month of peak activity,"Month of highest frequency of ants at baits, assessed throughout the year",June,,mode,,both,adult,,,,,,,,,,,
LivingSpecimen,Tapinoma nigerimum,Critical thermal maximum,,42,°C,single observation,,both,adult,,,,,,,,,,,
