cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Linepithema humile,Body Length,2.04,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tapinoma nigerimum,Body Length,4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus cruentatus,Body Length,10,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus foreli,Body Length,7,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus piceus,Body Length,5.02,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sylvaticus,Body Length,9.03,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cataglyphis cursor,Body Length,5.08,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cataglyphis floricola,Body Length,6,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cataglyphis iberica,Body Length,7.06,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cataglyphis rosenhaueri,Body Length,5.07,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cataglyphis velox,Body Length,8.03,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Formica subrufa,Body Length,4.09,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plagiolepis pygmaea,Body Length,1.06,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Proformica nasuta,Body Length,4.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphaenogaster gibbosa,Body Length,4.09,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphaenogaster senilis,Body Length,7.01,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster auberti,Body Length,3.04,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster sordidula,Body Length,2.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leptothorax kraussei,Body Length,2.08,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leptothorax specularis,Body Length,2.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leptothorax unifasciatus,Body Length,2.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor barbarus,Body Length,7.09,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor bouvieri,Body Length,6.03,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor capitatus,Body Length,8.04,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor lusitanicus,Body Length,6.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica sabuleti,Body Length,4.04,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole pallidula,Body Length,4.01,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole pallidula,Body Length,1.09,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tetramorium caespitum,Body Length,2.09,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tetramorium impurum,Body Length,3.04,,,,moderate,the trait was not extracted for this species
