basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Pooled(n=251),Body mass,"Weight of the whole specimen using a digital weighing-balance (SartoriusAC120S, 0.1 mg resolution)",147.9 (158.1),mg,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Pooled(n=251),Wing length,Longest straight-line distance from forewing base to forewing apex using a digital calliper.,28.7 (13.05),mm,single observation,,male,adult,,,,,,,,,,,
PreservedSpecimen,Pooled(n=251),Proboscis length,Straight distance between the base and the tip of the proboscis using a digital caliper.,12.8 (7.4),mm,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Pooled(n=251),Body mass,"Weight of the whole specimen using a digital weighing-balance (SartoriusAC120S, 0.1 mg resolution)",3.3 - 1459.3,mg,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Pooled(n=251),Wing length,Longest straight-line distance from forewing base to forewing apex using a digital calliper.,8.8 - 71.1,mm,single observation,,male,adult,,,,,,,,,,,
PreservedSpecimen,Pooled(n=251),Proboscis length,Straight distance between the base and the tip of the proboscis using a digital caliper.,3.1 - 41,mm,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Papilionidae(n=26),Body mass,"Weight of the whole specimen using a digital weighing-balance (SartoriusAC120S, 0.1 mg resolution)",385.2 (252.51),mg,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Papilionidae(n=26),Wing length,Longest straight-line distance from forewing base to forewing apex using a digital calliper.,52.1 (11.65),mm,single observation,,male,adult,,,,,,,,,,,
PreservedSpecimen,Papilionidae(n=26),Proboscis length,Straight distance between the base and the tip of the proboscis using a digital caliper.,21.2 (8.35),mm,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Papilionidae(n=26),Body mass,"Weight of the whole specimen using a digital weighing-balance (SartoriusAC120S, 0.1 mg resolution)",85.2 - 1459.3,mg,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Papilionidae(n=26),Wing length,Longest straight-line distance from forewing base to forewing apex using a digital calliper.,20.1 - 78.1,mm,single observation,,male,adult,,,,,,,,,,,
PreservedSpecimen,Papilionidae(n=26),Proboscis length,Straight distance between the base and the tip of the proboscis using a digital caliper.,9.29 - 35.7,mm,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Nymphalidae(n=100),Body mass,"Weight of the whole specimen using a digital weighing-balance (SartoriusAC120S, 0.1 mg resolution)",174.2 (139.13),mg,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Nymphalidae(n=100),Wing length,Longest straight-line distance from forewing base to forewing apex using a digital calliper.,32.7 (8.62),mm,single observation,,male,adult,,,,,,,,,,,
