cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Nymphalidae ,Wing length ,32.7 ± 8.62 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nymphalidae ,Wing length ,17.1 - 53.21 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieridae,Wing length ,30.8 ± 8.13 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieridae,Wing length ,15.02 - 48.9 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaenidae, Body mass ,45.5 ± 45.32 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaenidae, Body mass ,3.3 - 189.6 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hesperiidae , Body mass ,91.1 ± 61.29 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hesperiidae , Body mass ,12.4 - 378.5 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaenidae,Proboscis length ,6.1 ± 1.40 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaenidae,Proboscis length ,3.1 - 9.9 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Papilionidae, Body mass ,385.2 ± 252.51 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Papilionidae, Body mass ,85.2 - 1459.3 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaenidae,Wing length ,16.8 ± 4.35 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaenidae,Wing length ,8.8 - 30.5 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hesperiidae ,Proboscis length ,18 ± 9.57 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hesperiidae ,Proboscis length ,8 - 41,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Papilionidae,Proboscis length ,21.2 ± 8.35 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Papilionidae,Proboscis length ,9.29 - 35.7 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nymphalidae , Body mass ,174.2 ± 139.13 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nymphalidae , Body mass ,13.9 - 777.5 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hesperiidae ,Wing length ,18 ± 4.30 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hesperiidae ,Wing length ,10.5 - 31.99 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieridae, Body mass ,110.5 ± 88.64 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieridae, Body mass ,9.5 - 367.2 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nymphalidae ,Proboscis length ,11.2 ± 3.36 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nymphalidae ,Proboscis length ,5 - 20.3 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Papilionidae,Wing length ,52.1 ± 11.65 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Papilionidae,Wing length ,20.1 - 78.1 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieridae,Proboscis length ,13.9 ± 5.92 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieridae,Proboscis length ,8.25 - 35.68 ,,,,moderate,the trait was not extracted for this species
