cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Aciurina luminaria,head color,uniformly pale yellow,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,acrostichal,pale yellow,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,basal marginal spot in cell m size,large,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Ventral thoracic pleura,black with gray pollinosity,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Subscutellum posterior half color, black with pale gray pollinosity,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,postalar color,pale yellow,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,pupation period,spring,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,egg laying spot,singly into the leaf bud of a distal plant stem,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,body morphology,elliptical-oblong and rounded on both anterior and posterior ends,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Oviscape color,wholly black and shining,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,presutral supra-alar,pale yellow,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Subscutellum mediotergit color,black with pale gray pollinosity,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,number of vertical bands in cell c,2,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,body length,4,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,body length,6,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,body length,4,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Abdomen color, bright red-orange and shiny,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Subscutellum anterior half color,half pale yellow,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,setulae color, dense pale yellow,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Phallus size,1.25,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Phallus size,1.25,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Ventral part of pleura color,yellow-orange,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,postpronota color,pale yellow,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria, narrow interocular margin color, grey,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,prensisetae combination,paired,,,0.17,severe,species not extracted at all
species not in prediction,Aciurina luminaria,Puparium length,4.00,,,0.17,severe,species not extracted at all
