basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Acupalpus partiarius,Wing morphology,,macropterous,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acupalpus partiarius,Breeding season,Values were obtained from published literature (Larochelle and Larivie`re 2003; Bousquet 2010).,unknown,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acupalpus partiarius,Diet,,predator,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acupalpus partiarius,Activity time,Data obtained from published literature,nocturnal,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acupalpus partiarius,bodylength,Midpoint of published range,3.5,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonoleptus conjunctus,Wing morphology,,macropterous,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonoleptus conjunctus,Breeding season,Values were obtained from published literature (Larochelle and Larivie`re 2003; Bousquet 2010).,spring,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonoleptus conjunctus,Diet,,predator,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonoleptus conjunctus,Activity time,Data obtained from published literature,nocturnal,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonoleptus conjunctus,bodylength,Midpoint of published range,3.8,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum placidum,Wing morphology,,macropterous,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonum placidum,Breeding season,Values were obtained from published literature (Larochelle and Larivie`re 2003; Bousquet 2010).,spring,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonum placidum,Diet,,omnivore,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonum placidum,Activity time,Data obtained from published literature,nocturnal,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum placidum,bodylength,Midpoint of published range,7.9,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara aenea.convexa,Wing morphology,,macropterous,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara aenea.convexa,Breeding season,Values were obtained from published literature (Larochelle and Larivie`re 2003; Bousquet 2010).,spring,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara aenea.convexa,Diet,,phytophagous,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara aenea.convexa,Activity time,Data obtained from published literature,unknown,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara aenea.convexa,bodylength,Midpoint of published range,7.1,mm,mean,,both,adult,,,,,,,,,,,
