basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Abacetus cursor,Wings fully developed,,Yes,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus cursor,Medium length,Direct morphological measurement,5,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus denticollis,Wings fully developed,,Yes,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus denticollis,Medium length,Direct morphological measurement,9.25,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus discolor,Wings fully developed,,Yes,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus discolor,Medium length,Direct morphological measurement,7,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus nigrinus,Wings fully developed,,Yes,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus nigrinus,Medium length,Direct morphological measurement,10,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus percoides,Wings fully developed,,Yes,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus percoides,Medium length,Direct morphological measurement,10.75,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus perturbator,Wings fully developed,,Yes,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus perturbator,Medium length,Direct morphological measurement,5.75,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus pseudomashunus,Wings fully developed,,Yes,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abacetus pseudomashunus,Medium length,Direct morphological measurement,14,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anaulacus madagascariensis,Wings fully developed,,Yes,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anaulacus madagascariensis,Medium length,Direct morphological measurement,6.5,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anthia alternata,Wings fully developed,,No,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anthia alternata,Medium length,Direct morphological measurement,40.5,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anthia burchelli petersi,Wings fully developed,,No,cm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anthia burchelli petersi,Medium length,Direct morphological measurement,46.5,cm,mode,,both,adult,,,,,,,,,,,
