cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Distichus bisquadripunctatus,Medium length,11.5,,,,moderate,the trait was not extracted for this species
species not in prediction,Melaenus elegans,Medium length,9,,Brachinus laetus,0.56,severe,species not extracted at all
species not in prediction,Elaphropus haemorrhoidalis,Wings fully developed ,Yes,,,0.45,severe,species not extracted at all
species not in prediction,Chlaenius dusaultii diagraphus,Medium length,16.5,,Chlaenius dusaultii diagramus,0.95,severe,species not extracted at all
species not in prediction,Triaenogenius carinulatus carinulatus,Medium length,20,,Apristus latipennis latipennis,0.57,severe,species not extracted at all
species not in prediction,Prothymidia angusticollis,Wings fully developed ,No,,Apotomus annulaticornis,0.58,severe,species not extracted at all
"species present, trait missing",Elaphropus aethiopicus,Medium length,2,,,,moderate,the trait was not extracted for this species
species not in prediction,Megacephala asperata,Medium length,24.5,,Anthia alternata,0.56,severe,species not extracted at all
species not in prediction,Siagona caffra,Wings fully developed ,Yes,,,0.40,severe,species not extracted at all
species not in prediction,Elliptica compressicornis compressicornis,Wings fully developed ,Yes,,,0.40,severe,species not extracted at all
species not in prediction,Galerita angustipennis,Medium length,22.5,,Apristus latipennis latipennis,0.58,severe,species not extracted at all
species not in prediction,Parophonus tomentosus,Wings fully developed ,Yes,,,0.50,severe,species not extracted at all
species not in prediction,Systolocranius goryi,Wings fully developed ,Yes,,,0.43,severe,species not extracted at all
species not in prediction,Mesolestes machadoi,Wings fully developed ,Yes,,,0.44,severe,species not extracted at all
species not in prediction,Siagona partita,Medium length,9,,,0.47,severe,species not extracted at all
species not in prediction,Tetragonoderus immaculatus,Wings fully developed ,Yes,,,0.55,severe,species not extracted at all
species not in prediction,Pheropsophus stenopterus,Medium length,19,,,0.47,severe,species not extracted at all
species not in prediction,Tachys iridipennis,Medium length,2.7,,Tachys sp.1,0.55,severe,species not extracted at all
species not in prediction,Styphlomerus neavei neavei,Wings fully developed ,Yes,,,0.44,severe,species not extracted at all
species not in prediction,Tefflus carinatus carinatus,Wings fully developed ,No,,,0.50,severe,species not extracted at all
