basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Andrena bicolor Fabricius 1775,density,,1,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena bicolor Fabricius 1775,intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.10,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena bicolor Fabricius 1775,foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena bicolor Fabricius 1775,sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena carantonica Pérez 1902,density,,4,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena carantonica Pérez 1902,intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.98,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena carantonica Pérez 1902,foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena carantonica Pérez 1902,sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena chrysosceles (Kirby 1802),density,,10,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena chrysosceles (Kirby 1802),intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.04,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena chrysosceles (Kirby 1802),foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena chrysosceles (Kirby 1802),sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena cineraria (Linnaeus 1758),density,,8,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena cineraria (Linnaeus 1758),intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.94,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena cineraria (Linnaeus 1758),foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena cineraria (Linnaeus 1758),sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena coitana (Kirby 1802),density,,1,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena coitana (Kirby 1802),intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,1.70,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena coitana (Kirby 1802),foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena coitana (Kirby 1802),sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena flavipes Panzer 1799,density,,22,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena flavipes Panzer 1799,intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.50,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena flavipes Panzer 1799,foraging preference,,Species known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena flavipes Panzer 1799,sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena fucata Smith 1847,density,,1,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena fucata Smith 1847,intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.60,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena fucata Smith 1847,foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena fucata Smith 1847,sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena fulva (Müller 1766),density,,1,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena fulva (Müller 1766),intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.95,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena fulva (Müller 1766),foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena fulva (Müller 1766),sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena fulvida Schenck 1983,density,,2,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena fulvida Schenck 1983,intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.55,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena fulvida Schenck 1983,foraging preference,,Species known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena fulvida Schenck 1983,sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena haemorrhoa (Fabricius 1781),density,,15,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena haemorrhoa (Fabricius 1781),intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.44,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena haemorrhoa (Fabricius 1781),foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena haemorrhoa (Fabricius 1781),sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena helvola (Linnaeus 1758),density,,2,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena helvola (Linnaeus 1758),intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.30,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena helvola (Linnaeus 1758),foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena helvola (Linnaeus 1758),sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena labiata Fabricius 1781,density,,2,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena labiata Fabricius 1781,intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.30,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena labiata Fabricius 1781,foraging preference,,Not known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
Occurrence,Andrena labiata Fabricius 1781,sociality,Extracted from literature (Westrich 2018),Solitary species,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena lathyri Alfken 1899,density,,5,individuals / (250 m² * 5 min),mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena lathyri Alfken 1899,intertegular distance,Measurement using a connected microscope and Labscope Imaging Software (ZEISS) to determine intertegular distance (ITD).,2.44,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena lathyri Alfken 1899,foraging preference,,Species known to collect pollen from Fabaceae,,mean,,both,adult,,,,,,,,,,,
