cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Andrena carantonica Pérez 1902,Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Halictus scabiosae (Rossi 1790),Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena minutula (Kirby 1802),Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
species not in prediction,Bombus muscorum (Linnaeus 1758),Foraging preference,species known to collect pollen from Fabaceae ,,Halictus tumulorum (Linnaeus 1758),0.75,severe,species not extracted at all
species not in prediction,Bombus hortorum (Linnaeus 1761),Sociality,Social species,,Bombus terrestris (Linnaeus 1758) complex,0.62,severe,species not extracted at all
species not in prediction,Bombus muscorum (Linnaeus 1758),Sociality,Social species,,Halictus tumulorum (Linnaeus 1758),0.75,severe,species not extracted at all
"species+trait present, value differs",Chelostoma florisomne (Linnaeus 1758),Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum villosulum (Kirby 1802),Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum morio (Fabricius 1793),Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
"species present, trait missing",B. hortorum,Relative Tonghe Length,2.15,,,,moderate,the trait was not extracted for this species
species not in prediction,Bombus hortorum (Linnaeus 1761),Intertegular Distance,4.20,,Bombus terrestris (Linnaeus 1758) complex,0.62,severe,species not extracted at all
"species present, trait missing",B. sylvarum,Relative Tonghe Length,1.43,,,,moderate,the trait was not extracted for this species
species not in prediction,Bombus muscorum (Linnaeus 1758),Intertegular Distance,3.84,,Halictus tumulorum (Linnaeus 1758),0.75,severe,species not extracted at all
"species present, trait missing",B. pratorum,Relative Tonghe Length,1.22,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Andrena nitida (Müller 1776),Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Halictus quadricinctus (Fabricius 1776),Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena bicolor Fabricius 1775,Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Melitta nigricans Alfken 1905,Foraging preference,species not known to collect pollen from Fabaceae ,species not known to exploit Fabaceae,,,moderate,predicted a different value for this trait
"species present, trait missing",B. lapidarius,Relative Tonghe Length,1.20,,,,moderate,the trait was not extracted for this species
"species present, trait missing",B. terrestris/lucorum,Relative Tonghe Length,1.23,,,,moderate,the trait was not extracted for this species
