basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
Occurrence,Bata01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,7,,,,,
Occurrence,Bata02,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,18,,,,,
Occurrence,Bata03,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,36,,,,,
Occurrence,Birk01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,17,,,,,
Occurrence,Boet01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,31,,,,,
Occurrence,Boet01,adjacent habitat classes,,control,,mode,,both,adult,,,,,,31,,,,,
Occurrence,Boet02,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,30,,,,,
Occurrence,Boet02,adjacent habitat classes,,control,,mode,,both,adult,,,,,,30,,,,,
Occurrence,Entl01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,20,,,,,
Occurrence,Farm01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,104,,,,,
Occurrence,Farm01,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,104,,,,,
Occurrence,Farm02,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,17,,,,,
Occurrence,Farm02,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,17,,,,,
Occurrence,Farm03,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,84,,,,,
Occurrence,Farm03,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,84,,,,,
Occurrence,Farm03,adjacent habitat classes,,control,,mode,,both,adult,,,,,,84,,,,,
Occurrence,Farm04,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,150,,,,,
Occurrence,Farm04,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,150,,,,,
Occurrence,Farm05,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,154,,,,,
Occurrence,Farm05,adjacent habitat classes,,control,,mode,,both,adult,,,,,,154,,,,,
Occurrence,Farm06,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,34,,,,,
Occurrence,Farm06,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,34,,,,,
Occurrence,Farm06,adjacent habitat classes,,control,,mode,,both,adult,,,,,,34,,,,,
Occurrence,Farm08,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,249,,,,,
Occurrence,Farm08,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,249,,,,,
Occurrence,Farm08,adjacent habitat classes,,control,,mode,,both,adult,,,,,,249,,,,,
Occurrence,Hof01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,32,,,,,
Occurrence,Hof01,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,32,,,,,
Occurrence,Knap01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,4,,,,,
Occurrence,Knap01,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,4,,,,,
Occurrence,Luka01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,7,,,,,
Occurrence,Luka02,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,3,,,,,
Occurrence,Maas01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,5,,,,,
Occurrence,Maas02,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,5,,,,,
Occurrence,Maas03,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,5,,,,,
Occurrence,Marr01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,38,,,,,
Occurrence,Marr01,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,38,,,,,
Occurrence,Marr02,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,49,,,,,
Occurrence,Marr02,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,49,,,,,
Occurrence,Marr03,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,37,,,,,
Occurrence,Marr03,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,37,,,,,
Occurrence,Schi01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,17,,,,,
Occurrence,Schi01,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,17,,,,,
Occurrence,Schi01,adjacent habitat classes,,control,,mode,,both,adult,,,,,,17,,,,,
Occurrence,Sutt01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,18,,,,,
Occurrence,Sutt01,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,18,,,,,
Occurrence,Sutt01,adjacent habitat classes,,control,,mode,,both,adult,,,,,,18,,,,,
Occurrence,Tsch01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,25,,,,,
Occurrence,Tsch01,adjacent habitat classes,,control,,mode,,both,adult,,,,,,25,,,,,
Occurrence,Voor01,adjacent habitat classes,,herbaceous,,mode,,both,adult,,,,,,8,,,,,
Occurrence,Voor01,adjacent habitat classes,,woody,,mode,,both,adult,,,,,,8,,,,,
