cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Laemostenus terricola,body size,14,,,0.54,severe,species not extracted at all
species not in prediction,Dixus sphaerocephalus,body size,6.5,,Pterostichus madidus,0.63,severe,species not extracted at all
species not in prediction,Ophonus azureus,diet,granivorous,,Parophonus maculicornis,0.63,severe,species not extracted at all
species not in prediction,Dolichus halensis,body size,16.5,,Carabus hortensis,0.59,severe,species not extracted at all
species not in prediction,Harpalus affinis,body size,10,,Carabus auronitens,0.59,severe,species not extracted at all
species not in prediction,Carterus fulvipes,diet,granivorous,,Calathus fuscipes,0.71,severe,species not extracted at all
species not in prediction,Orthomus expansus,body size,10,,Syntomus foveatus,0.59,severe,species not extracted at all
species not in prediction,Carabus purpurascens,body size,30,,Poecilus purpurascens,0.78,severe,species not extracted at all
species not in prediction,Ophonus puncticollis,diet,granivorous,,Poecilus puncticollis,0.78,severe,species not extracted at all
species not in prediction,Gynandromorphus etruscus,body size,10.5,,,0.54,severe,species not extracted at all
"species+trait present, value differs",Amara tricuspidata,diet,carnivorous,granivorous,,,moderate,predicted a different value for this trait
species not in prediction,Notiophilus aestuans,diet,carnivorous,,,0.50,severe,species not extracted at all
species not in prediction,Carabus ulrichii,diet,carnivorous,,Carabus germarii,0.69,severe,species not extracted at all
species not in prediction,Ocys harpaloides,body size,5,,,0.50,severe,species not extracted at all
species not in prediction,Harpalus rufipes,diet,granivorous,,Amara rufipes,0.76,severe,species not extracted at all
species not in prediction,Harpalus latus,diet,granivorous,,Carabus granulatus,0.69,severe,species not extracted at all
species not in prediction,Leistus rufomarginatus,diet,carnivorous,,Callistus lunatus,0.67,severe,species not extracted at all
species not in prediction,Notiophilus substriatus,body size,4.5,,Anisodactylus signatus,0.58,severe,species not extracted at all
species not in prediction,Harpalus sulphuripes,body size,7,,Stenolophus marginatus,0.57,severe,species not extracted at all
species not in prediction,Microlestes maurus,body size,2,,,0.55,severe,species not extracted at all
species not in prediction,Leistus fulvibarbis,diet,carnivorous,,,0.52,severe,species not extracted at all
species not in prediction,Dixus clypeatus,diet,granivorous,,Blemus discus,0.64,severe,species not extracted at all
species not in prediction,Harpalus rubripes,diet,granivorous,,Amara rufipes,0.67,severe,species not extracted at all
species not in prediction,Microlestes negrita,diet,carnivorous,,,0.50,severe,species not extracted at all
species not in prediction,Clivina collaris,body size,4.5,,Amara consularis,0.56,severe,species not extracted at all
species not in prediction,Ophonus schaubergerianus,diet,granivorous,,,0.51,severe,species not extracted at all
species not in prediction,Harpalus oblitus,diet,granivorous,,Carabus coriaceus,0.61,severe,species not extracted at all
species not in prediction,Ophonus diffinis,diet,granivorous,,Parophonus maculicornis,0.62,severe,species not extracted at all
species not in prediction,Molops elatus,diet,carnivorous,,Stenolophus mixtus,0.58,severe,species not extracted at all
species not in prediction,Ophonus puncticeps,diet,granivorous,,Poecilus puncticollis,0.62,severe,species not extracted at all
species not in prediction,Dromius quadrimaculatus,diet,carnivorous,,Bembidion quadrimaculatum,0.71,severe,species not extracted at all
species not in prediction,Harpalus subcylindricus,body size,6.5,,Carabus intricatus,0.63,severe,species not extracted at all
species not in prediction,Harpalus griseus,diet,omnivorous,,Bradycellus harpalinus,0.68,severe,species not extracted at all
species not in prediction,Leistus spinibarbis,diet,carnivorous,,,0.54,severe,species not extracted at all
species not in prediction,Chlaenius festivus,diet,carnivorous,,Pterostichus melanarius,0.63,severe,species not extracted at all
species not in prediction,Carabus nemoralis,diet,carnivorous,,Carabus germarii,0.73,severe,species not extracted at all
species not in prediction,Ophonus ardosiacus,diet,granivorous,,Broscus cephalotes,0.61,severe,species not extracted at all
species not in prediction,Harpalus laevipes,diet,granivorous,,Acupalpus elegans,0.59,severe,species not extracted at all
species not in prediction,Laemostenus terricola,diet,carnivorous,,,0.54,severe,species not extracted at all
species not in prediction,Dixus sphaerocephalus,diet,granivorous,,Pterostichus madidus,0.63,severe,species not extracted at all
species not in prediction,Harpalus honestus,body size,8.5,,Carabus convexus,0.67,severe,species not extracted at all
species not in prediction,Harpalus atratus,body size,11.5,,Carabus auratus,0.77,severe,species not extracted at all
species not in prediction,Harpalus affinis,diet,granivorous,,Carabus auronitens,0.59,severe,species not extracted at all
species not in prediction,Orthomus expansus,diet,carnivorous,,Syntomus foveatus,0.59,severe,species not extracted at all
species not in prediction,Notiophilus aquaticus,body size,5,,Stenolophus marginatus,0.60,severe,species not extracted at all
species not in prediction,Notiophilus palustris,body size,5,,,0.52,severe,species not extracted at all
species not in prediction,Gynandromorphus etruscus,diet,granivorous,,,0.54,severe,species not extracted at all
species not in prediction,Diachromus germanus,diet,granivorous,,Carabus granulatus,0.59,severe,species not extracted at all
species not in prediction,Licinus depressus,body size,10,,Poecilus cupreus,0.61,severe,species not extracted at all
species not in prediction,Harpalus rubripes,body size,10,,Amara rufipes,0.67,severe,species not extracted at all
species not in prediction,Panagaeus cruxmajor,diet,omnivorous,,,0.50,severe,species not extracted at all
species not in prediction,Ophonus schaubergerianus,body size,8.5,,,0.51,severe,species not extracted at all
species not in prediction,Dixus capito,body size,12.5,,,0.50,severe,species not extracted at all
species not in prediction,Ophonus sabulicola,body size,15,,,0.54,severe,species not extracted at all
species not in prediction,Harpalus griseus,body size,10,,Bradycellus harpalinus,0.68,severe,species not extracted at all
species not in prediction,Limodromus assimilis,body size,11.5,,,0.50,severe,species not extracted at all
