basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
,Scymnus nubilus,Prey Species Predator Biological Trait,,Incubation time (days),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Immature development time (days),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Immature survival (proportion),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Pre-oviposition time (days),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Fecundity (n. of eggs),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Fertility (n. of fertile eggs),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Oviposition rate (n. of eggs/day),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Oviposition period (days),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Female weight (mg),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Male weight (mg),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Prey Species Predator Biological Trait,,Sex ratio (% F:M),,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Population Growth Parameters,,Intrinsic rate of increase,,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Population Growth Parameters,,Finite rate of increase,,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Population Growth Parameters,,Doubling time,,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Population Growth Parameters,,Mean generation time,,mode,,both,both,,,,,,,,,,,
,Scymnus nubilus,Population Growth Parameters,,Net reproductive rate,,mode,,both,both,,,,,,,,,,,
