cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Scymnus nubilus,Fecundity when fed Aphis fabae,1052.9 ± 98.8 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Female weight when fed Aphis fabae,1.21 ± 0.02 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Fecundity when fed Myzus persicae,654.1 ± 106.4 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Male weight when fed Aphis fabae,0.97 ± 0.02,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Locality,"São Miguel Island, Azores, Portugal, in a coastal prairie area",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Immature development time when fed Myzus persicae,12.1 ± 0.1 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Male weight when fed Myzus persicae, 0.97 ± 0.02 ,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Scymnus nubilus,Sex ratio when fed Myzus persicae,67.5,67.5 * (25:12),,,moderate,predicted a different value for this trait
"species+trait present, value differs",Scymnus nubilus,Sex ratio when fed Myzus persicae,54.3,67.5 * (25:12),,,moderate,predicted a different value for this trait
"species present, trait missing",Scymnus nubilus,Immature survival when fed Myzus persicae,0.95,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Female weight when fed Myzus persicae,1.24 ± 0.02 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Fertility when fed Myzus persicae, 607.5 ± 97.8 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Fertility when fed Aphis fabae, 859.3 ± 88.7 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Oviposition period when fed Myzus persicae, 51.0 ± 9.5 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Immature survival when fed Aphis fabae,0.97,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Pre-oviposition time when fed Aphis fabae, 4.2 ± 0.2 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Oviposition rate when fed Aphis fabae,15.4 ± 1.2 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Oviposition rate when fed Myzus persicae, 13.5 ± 0.5 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Incubation time when fed Myzus persicae, 4.3 ± 0.1 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Incubation time when fed Aphis fabae,4.2 ± 0.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Pre-oviposition time when fed Myzus persicae, 3.6 ± 0.4 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Immature development time when fed Aphis fabae,11.3 ± 0.1 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scymnus nubilus,Oviposition period when fed Aphis fabae, 72.9 ± 9.4 ,,,,moderate,the trait was not extracted for this species
