basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Halictus ligatus,Chicago,,Legends,,mode,,female,adult,,,,Location,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,urban.farm,,mode,,female,adult,,,,Management,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,29.Jun.16,,mode,,female,adult,,,,Date,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,June,,mode,,female,adult,,,,Month,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,29,,mode,,female,adult,,,,Day,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,2016,,mode,,female,adult,,,,Year,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,0.125,,mode,,female,adult,,,,Intertegular.d,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,0.215,,mode,,female,adult,,,,Head.w,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,20162263,,mode,,female,adult,,,,I.D.,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,Little.Village,,mode,,female,adult,,,,Neighborhood,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,2888.2,,mode,,female,adult,,,,Garden.area,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,3290,,mode,,female,adult,,,,Med.Income.scaled,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,52497,,mode,,female,adult,,,,City.med.income,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,62.67024782,,mode,,female,adult,,,,Percent.income,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,18800,,mode,,female,adult,,,,popdens,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,21.1733333,,mode,,female,adult,,,,DDG_15,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,12.2366667,,mode,,female,adult,,,,DDG_16,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,6.2362126,,mode,,female,adult,,,,CV_15,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,3.8356677,,mode,,female,adult,,,,CV_16,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,28.882,,mode,,female,adult,,,,scaled.garden,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,low,,mode,,female,adult,,,,income,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,2038.55,,mode,,female,adult,,,,PGDD,,,,,,,
HumanObservation,Halictus ligatus,Chicago,,21.18518518,,mode,,female,adult,,,,15Temp,,,,,,,
