basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Snails,Distance to city center,Geographical distance calculation based on the location of the gardens relative to the city center.,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Snails,Percentage of sealed area,Inferred from field survey of domestic gardens along a rural–urban gradient.,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Snails,Vegetated garden area,Direct measurement of the grassland area in each garden,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Snails,Native plant richness,,,,individual,,both,adult,,,,,,,,,,,
Occurrence,Snails,Habitat richness,,-,,individual,,both,adult,,,,,,,,,,,
LivingSpecimen,Snails,Structural diversity,Measuring the height of the vegetation at intervals of 2 m along the transect lines to calculate structural diversity.,,,individual,,both,adult,,,,,,,,,,,
HumanObservation,Spiders,Distance to city center,Geographical distance calculation based on the location of the gardens relative to the city center.,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Spiders,Percentage of sealed area,Inferred from field survey of domestic gardens along a rural–urban gradient.,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Spiders,Vegetated garden area,Direct measurement of the grassland area in each garden,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Spiders,Native plant richness,,-,,individual,,both,adult,,,,,,,,,,,
Occurrence,Spiders,Habitat richness,,ns,,individual,,both,adult,,,,,,,,,,,
LivingSpecimen,Spiders,Structural diversity,Measuring the height of the vegetation at intervals of 2 m along the transect lines to calculate structural diversity.,-,,individual,,both,adult,,,,,,,,,,,
HumanObservation,Spiders,Distance to city center,Geographical distance calculation based on the location of the gardens relative to the city center.,,,individual,,both,adult,,,,,,,,,,,
Occurrence,Spiders,Native plant richness,,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Spiders,Habitat richness,,-,,individual,,both,adult,,,,,,,,,,,
HumanObservation,Millipedes,Distance to city center,Geographical distance calculation based on the location of the gardens relative to the city center.,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Millipedes,Percentage of sealed area,Inferred from field survey of domestic gardens along a rural–urban gradient.,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Millipedes,Vegetated garden area,Direct measurement of the grassland area in each garden,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Millipedes,Native plant richness,,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Millipedes,Habitat richness,,ns,,individual,,both,adult,,,,,,,,,,,
LivingSpecimen,Millipedes,Structural diversity,Measuring the height of the vegetation at intervals of 2 m along the transect lines to calculate structural diversity.,-,,individual,,both,adult,,,,,,,,,,,
HumanObservation,Millipedes,Distance to city center,Geographical distance calculation based on the location of the gardens relative to the city center.,,,individual,,both,adult,,,,,,,,,,,
Occurrence,Millipedes,Habitat richness,,-,,individual,,both,adult,,,,,,,,,,,
LivingSpecimen,Millipedes,Structural diversity,Measuring the height of the vegetation at intervals of 2 m along the transect lines to calculate structural diversity.,ns,,individual,,both,adult,,,,,,,,,,,
HumanObservation,Rove beetles,Distance to city center,Geographical distance calculation based on the location of the gardens relative to the city center.,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Rove beetles,Percentage of sealed area,Inferred from field survey of domestic gardens along a rural–urban gradient.,,,individual,,both,adult,,,,,,,,,,,
Occurrence,Rove beetles,Vegetated garden area,Direct measurement of the grassland area in each garden,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Rove beetles,Native plant richness,,-,,individual,,both,adult,,,,,,,,,,,
Occurrence,Rove beetles,Habitat richness,,-,,individual,,both,adult,,,,,,,,,,,
LivingSpecimen,Rove beetles,Structural diversity,Measuring the height of the vegetation at intervals of 2 m along the transect lines to calculate structural diversity.,-,,individual,,both,adult,,,,,,,,,,,
HumanObservation,Rove beetles,Distance to city center,Geographical distance calculation based on the location of the gardens relative to the city center.,,,individual,,both,adult,,,,,,,,,,,
Occurrence,Rove beetles,Percentage of sealed area,Inferred from field survey of domestic gardens along a rural–urban gradient.,ns,,individual,,both,adult,,,,,,,,,,,
LivingSpecimen,Rove beetles,Structural diversity,Measuring the height of the vegetation at intervals of 2 m along the transect lines to calculate structural diversity.,ns,,individual,,both,adult,,,,,,,,,,,
HumanObservation,Slugs,Distance to city center,Geographical distance calculation based on the location of the gardens relative to the city center.,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Slugs,Percentage of sealed area,Inferred from field survey of domestic gardens along a rural–urban gradient.,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Slugs,Vegetated garden area,Direct measurement of the grassland area in each garden,ns,,individual,,both,adult,,,,,,,,,,,
Occurrence,Slugs,Native plant richness,,-,,individual,,both,adult,,,,,,,,,,,
Occurrence,Slugs,Habitat richness,,-,,individual,,both,adult,,,,,,,,,,,
LivingSpecimen,Slugs,Structural diversity,Measuring the height of the vegetation at intervals of 2 m along the transect lines to calculate structural diversity.,ns,,individual,,both,adult,,,,,,,,,,,
HumanObservation,Woodlice,Distance to city center,Geographical distance calculation based on the location of the gardens relative to the city center.,,,individual,,both,adult,,,,,,,,,,,
