cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing","Tapinoma subboreale Seifert, 2012",Drought Resistance,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Astenus lyonessius (Joy, 1908)",Microhabitat Preference,thermopilous but no further preference,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Rugilus similis (Erichson, 1839)",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Myrmica schencki Viereck, 1903",Drought Resistance,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Rugilus rufipes Germar, 1836",Microhabitat Preference,no specific preference,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Proteinus brachypterus (Fabricius, 1792)",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Quedius levicollis (Brullé, 1832)",Microhabitat Preference,thermopilous but no further preference,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Aleochara bipustulata (Linnaeus,1761)",Microhabitat Preference,coprophilous,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Nehemitropia lividipennis (Mannerheim, 1830)",Microhabitat Preference,no specific preference,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Xantholinus linearis (Olivier, 1795)",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Oxytelus sculptus Gravenhorst, 1806",Microhabitat Preference,saprophilous,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Gabrius nigritulus (Gravenhorst, 1802)",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Liogluta longiuscula (Gravenhorst, 1802)",Microhabitat Preference,no specific preference,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Ischnosoma splendidum (Gravenhorst, 1806)",Microhabitat Preference,no specific preference,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Edaphus lederi Eppelsheim, 1878",Microhabitat Preference,saprophilous,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Atheta episcopalis Bernhauer, 1910",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Lasius myops Forel, 1894",Drought Resistance,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Pella limbata (Paykull, 1789)",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Atheta coriaria (Kraatz, 1856)",Microhabitat Preference,saprophilous,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Oxypoda opaca (Gravenhorst, 1802)",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Dinaraea angustula (Gyllenhal, 1810)",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Carpelimus punctatellus (Erichson, 1840)",Drought Resistance,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Atheta amicula (Stephens, 1832)",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Anotylus sculpturatus Gravenhorst, 1806)",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Tachyporus pusillus Gravenhorst, 1806",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Atheta longicornis (Gravenhorst, 1802)",Microhabitat Preference,no specific preference,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Lasius flavus (Fabricius, 1781)",Drought Resistance,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Gabrius breviventer (Sperk, 1835)",Microhabitat Preference,no specific preference,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Rugilus rufipes Germar, 1836",Drought Resistance,No,,,,moderate,the trait was not extracted for this species
