basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Agapostemon sericeus,Date of changing season,,July 26th,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Agapostemon sericeus,Diet,Assignment based on primary literature,Polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Agapostemon sericeus,Nesting,,Ground,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Agapostemon sericeus,Sociality,,Solitary,,mode,,both,adult,,,,,,,,,,,
Occurrence,Agapostemon sericeus,Voltinism,,Bivoltine,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agapostemon sericeus,Body size,,Small,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agapostemon sericeus,Body size x urbanization Female spring F,"Distance between each tegulae (intertegular distance, ITD) using a stereo microscope (Nikon SMZ1270)",0.898,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agapostemon sericeus,Body size x urbanization Female summer F,,1.286,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Bombus griseocollis,Date of changing season,,August 10th,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bombus griseocollis,Diet,Assignment based on primary literature,Polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bombus griseocollis,Nesting,,Ground,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bombus griseocollis,Sociality,,Social,,mode,,both,adult,,,,,,,,,,,
Occurrence,Bombus griseocollis,Voltinism,,Bivoltine,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus griseocollis,Body size,,Large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus griseocollis,Body size x urbanization Female spring F,"Distance between each tegulae (intertegular distance, ITD) using a stereo microscope (Nikon SMZ1270)",0.46,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus griseocollis,Body size x urbanization Female summer F,,1.054,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Bombus impatiens,Date of changing season,,July 14th,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bombus impatiens,Diet,Assignment based on primary literature,Polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bombus impatiens,Nesting,,Ground,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bombus impatiens,Sociality,,Social,,mode,,both,adult,,,,,,,,,,,
Occurrence,Bombus impatiens,Voltinism,,Bivoltine,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus impatiens,Body size,,Large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus impatiens,Body size x urbanization Female spring F,"Distance between each tegulae (intertegular distance, ITD) using a stereo microscope (Nikon SMZ1270)",0.49,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus impatiens,Body size x urbanization Female summer F,,0.93,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Ceratina calcarata,Date of changing season,,NA,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ceratina calcarata,Diet,Assignment based on primary literature,Polylectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ceratina calcarata,Nesting,,Cavity,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ceratina calcarata,Sociality,,Solitary,,mode,,both,adult,,,,,,,,,,,
Occurrence,Ceratina calcarata,Voltinism,,Univoltine,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina calcarata,Body size,,Small,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Eucera pruinosa,Date of changing season,,NA,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Eucera pruinosa,Diet,Assignment based on primary literature,Oligolectic,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Eucera pruinosa,Nesting,,Ground,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Eucera pruinosa,Sociality,,Solitary,,mode,,both,adult,,,,,,,,,,,
Occurrence,Eucera pruinosa,Voltinism,,Univoltine,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Eucera pruinosa,Body size,,Large,,mode,,both,adult,,,,,,,,,,,
