cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score
"species present, trait missing",Agapostemon sericeus,Diet,Polylectic,,,
"species present, trait missing",Bombus griseocollis,Diet,Polylectic,,,
"species present, trait missing",Bombus impatiens,Diet,Polylectic,,,
"species present, trait missing",Ceratina calcarata,Diet,Polylectic,,,
"species present, trait missing",Eucera (Peponapis) pruinosa,Diet,Oligolectic,,,
"species present, trait missing",Agapostemon sericeus,Nesting,Ground,,,
"species present, trait missing",Bombus griseocollis,Nesting,Ground,,,
"species present, trait missing",Bombus impatiens,Nesting,Ground,,,
"species present, trait missing",Ceratina calcarata,Nesting,Cavity,,,
"species present, trait missing",Eucera (Peponapis) pruinosa,Nesting,Ground,,,
"species present, trait missing",Agapostemon sericeus,Sociality,Solitary,,,
"species present, trait missing",Bombus griseocollis,Sociality,Social,,,
"species present, trait missing",Bombus impatiens,Sociality,Social,,,
"species present, trait missing",Ceratina calcarata,Sociality,Solitary,,,
"species present, trait missing",Eucera (Peponapis) pruinosa,Sociality,Solitary,,,
"species present, trait missing",Agapostemon sericeus,Voltinism,Bivoltine,,,
"species present, trait missing",Bombus griseocollis,Voltinism,Bivoltine,,,
"species present, trait missing",Bombus impatiens,Voltinism,Bivoltine,,,
"species present, trait missing",Ceratina calcarata,Voltinism,Univoltine,,,
"species present, trait missing",Eucera (Peponapis) pruinosa,Voltinism,Univoltine,,,
"species present, trait missing",Agapostemon sericeus,Body size,Small,,,
"species present, trait missing",Bombus griseocollis,Body size,Large,,,
"species present, trait missing",Bombus impatiens,Body size,Large,,,
"species present, trait missing",Ceratina calcarata,Body size,Small,,,
"species present, trait missing",Eucera (Peponapis) pruinosa,Body size,Large,,,
