basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,"Ogcodes borealisCole, 1919",Host spider,Figures 1-3-Raised in laboratory,Pardosa sp.(Lycosidae),,mode,,both,adult,,,,,,"North Cooking Lake,Alberta, Canada;May 1986 (by MC);2 specimens",,,,,
HumanObservation,"Ogcodes borealisCole, 1919",Host spider,-Range extension in eastern N. Am.-Kentucky State record-Raised in laboratory,"Schizocosa rovneriUetz & Dondale,1979 (Lycosidae)",,mode,,both,adult,,,,,,"NW Kentucky (Boone Co.), USA; October 1981 (by GS);4 specimens",,,,,
HumanObservation,Ogcodes pallidipennis,Host spider,-Kentucky State record-All raised in laboratory,"Schizocosa rovneriUetz & Dondale,1979 (Lycosidae)",,mode,,both,adult,,,,,,"Central Illinois (Mason Co.), USA; 1985 (by GS); 2 S. rovneri,1 “Lycosa” sp.",,,,,
HumanObservation,Ogcodes pallidipennis,Host spider,-“Lycosa” notation because Dondale and Redner (1990) consider Lycosa not to occur in North America,“Lycosa” sp.(Lycosidae),,mode,,both,adult,,,,,,"NW Kentucky (Boone Co.), USA; 1980,1982 (by GS);2 “Lycosa” sp.",,,,,
HumanObservation,Ogcodes pallidipennis,Pupation duration,Mean duration with standard error of the mean (SEM),7.67±5.4,,mean ± SE,,both,adult,,,,,,Lab 20,,,,,
HumanObservation,Ogcodes pallidipennis,Pupation duration,Mean duration with standard error of the mean (SEM),6.56±1.2,,mean ± SE,,both,adult,,,,,,Lab —,,,,,
HumanObservation,Ogcodes sp.,Host spider,-Raised in laboratory,"Anyphaena californica(Banks, 1904)(Anyphaenidae)",,mode,,both,adult,,,,,,"Moraga (Contra Costa Co.), CA, USA;13 July 1979 (by D.G. Denning); 1 specimen",,,,,
HumanObservation,"Acrocera bimaculataLoew, 1866",Host spider,Figure 4-Raised in laboratory,"Coras montanus(Emerton, 1890a)(Agelenidae)",,mode,,both,adult,,,,,,"East Tennessee (Morgan Co.), USA; (by AC) May 1982; 5 specimens, May 1983; 1 specimen",,,,,
HumanObservation,"Turbopsebius sulphuripesLoew, 1869",Host spider,-Tennessee State record-Raised in field; taken to lab before pupal eclosion-Few published host records,"Coras montanus(Emerton, 1890a)(Agelenidae)",,mode,,both,adult,,,,,,"East Tennessee (Morgan Co.), USA; May 1981 (by AC); 1 specimen",,,,,
HumanObservation,"Exetasis eickstedtaeSchlinger, 1972",Host spider,,"Lasiodora klugi(C.L. Koch, 1842)(Theraphosidae)",,mode,,both,adult,,,,,,"Governador Valadares (Minas Gerais), Brazil;12 March 1983 (by LS); 3 specimens",,,,,
HumanObservation,Ogcodes eugonatus,Pupation duration,Mean duration with standard error of the mean (SEM),5.5±0.7,,mean ± SE,,both,adult,,,,,,Lab —,,,,,
HumanObservation,Ogcodes adaptatus,Pupation duration,Mean duration with standard error of the mean (SEM),3.83±0.9,,mean ± SE,,both,adult,,,,,,Lab —,,,,,
HumanObservation,Ogcodes dispar,Pupation duration,Mean duration with standard error of the mean (SEM),3.4±0.6,,mean ± SE,,both,adult,,,,,,Lab 22,,,,,
HumanObservation,"Ogcodes borealis Cole, 1919",Pupation duration,Mean duration with standard error of the mean (SEM),4.0±0,,mean ± SE,,both,adult,,,,,,Lab 20,,,,,
HumanObservation,Turbopsebius diligens,Pupation duration,Mean duration with standard error of the mean (SEM),9.5±1.3,,mean ± SE,,both,adult,,,,,,Lab 20.9,,,,,
HumanObservation,Acrocera bimaculata,Pupation duration,Mean duration with standard error of the mean (SEM),16.87±1.4,,mean ± SE,,both,adult,,,,,,Field 16,,,,,
