cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score
species not in prediction,Acrocera bimaculata,Host spider(s),Coras montanus,,"Acrocera bimaculata (Loew, 1866)",0.79
species not in prediction,Exetasis eickstedtae,Host spider(s),Lasiodora klugi,,"Exetasis eickstedtaeSchlinger, 1972",0.71
species not in prediction,Ogcodes borealis,Host spider(s),Pardosa sp.,,"Ogcodes borealis Cole, 1919",0.82
species not in prediction,Ogcodes borealis,Host spider(s),Schizocosa rovneri,,"Ogcodes borealis Cole, 1919",0.82
species not in prediction,Ogcodes pallidipennis,Host spider(s),Schizocosa rovneri,,"Ogcodes pallidipennis (Loew, 1866)",0.80
species not in prediction,Ogcodes pallidipennis,Host spider(s),"""Lycosa"" sp.",,"Ogcodes pallidipennis (Loew, 1866)",0.80
"species+trait present, value differs",Ogcodes sp.,Host spider(s),Anyphaena californica,anyphaena californica(banks,,
species not in prediction,Turbopsebius sulphuripes,Host spider(s),Coras montanus,,"Turbopsebius sulphuripesLoew, 1869",0.77
species not in prediction,Ogcodes pallidipennis,Pupation duration,7.67 ± 5.4,,"Ogcodes pallidipennis (Loew, 1866)",0.80
species not in prediction,Ogcodes pallidipennis,Pupation duration,6.56 ± 1.2,,"Ogcodes pallidipennis (Loew, 1866)",0.80
species not in prediction,Ogcodes eugonatus,Pupation duration,5.5 ± 0.7,,"Ogcodes eugonatus (Loew, 1872)",0.80
species not in prediction,Ogcodes adaprarus,Pupation duration,3.83 ± 0.9,,"Ogcodes adaptatus (Schlinger, 1960)",0.68
species not in prediction,Ogcodes dispar,Pupation duration,3.4 ± 0.6,,"Ogcodes dispar (Macquart, 1855)",0.79
species not in prediction,Ogcodes borealis,Pupation duration,4 ± 0,,"Ogcodes borealis Cole, 1919",0.82
species not in prediction,Turbopsebius diligens,Pupation duration,9.5 ± 1.3,,"Turbopsebius diligens (Osten Sacken, 1877)",0.76
species not in prediction,Acrocera bimaculata,Pupation duration,16.87 ± 1.4,,"Acrocera bimaculata (Loew, 1866)",0.79
