basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Acromyrmex sp1,Primary Forest,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp1,forest specialists-15,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acromyrmex sp1,forest specialists-5,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp1,Agriculture,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp1,Pastures for livestock,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp1,Trophic type,,Leaf-cutting Attini,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp1,Ecosystem specificity,,Forest specialists,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acromyrmex sp2,Primary Forest,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp2,forest specialists-15,,1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acromyrmex sp2,forest specialists-5,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp2,Agriculture,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp2,Pastures for livestock,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp2,Trophic type,,Leaf-cutting Attini,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp2,Ecosystem specificity,,Forest specialists,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acromyrmex sp3,Primary Forest,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp3,forest specialists-15,,2,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acromyrmex sp3,forest specialists-5,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp3,Agriculture,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp3,Pastures for livestock,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp3,Trophic type,,Leaf-cutting Attini,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acromyrmex sp3,Ecosystem specificity,,Forest specialists,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anochetus sp1,Primary Forest,,3,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp1,forest specialists-15,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anochetus sp1,forest specialists-5,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp1,Agriculture,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp1,Pastures for livestock,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp1,Trophic type,,Epigaeic Predators,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp1,Ecosystem specificity,,Forest specialists,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anochetus sp2,Primary Forest,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp2,forest specialists-15,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anochetus sp2,forest specialists-5,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp2,Agriculture,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp2,Pastures for livestock,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp2,Trophic type,,Epigaeic Predators,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp2,Ecosystem specificity,,Forest specialists,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anochetus sp3,Primary Forest,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp3,forest specialists-15,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anochetus sp3,forest specialists-5,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp3,Agriculture,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp3,Pastures for livestock,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp3,Trophic type,,Epigaeic Predators,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anochetus sp3,Ecosystem specificity,,Forest specialists,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Apterostigma sp1,Primary Forest,,5,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp1,forest specialists-15,,2,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Apterostigma sp1,forest specialists-5,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp1,Agriculture,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp1,Pastures for livestock,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp1,Trophic type,,Non-Leaf-Cutting Attini,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp1,Ecosystem specificity,,Forest specialists,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Apterostigma sp2,Primary Forest,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp2,forest specialists-15,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Apterostigma sp2,forest specialists-5,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp2,Agriculture,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp2,Pastures for livestock,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp2,Trophic type,,Non-Leaf-Cutting Attini,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp2,Ecosystem specificity,,Forest specialists,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Apterostigma sp3,Primary Forest,,6,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp3,forest specialists-15,,16,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Apterostigma sp3,forest specialists-5,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp3,Agriculture,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp3,Pastures for livestock,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp3,Trophic type,,Non-Leaf-Cutting Attini,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apterostigma sp3,Ecosystem specificity,,Forest specialists,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Apterostigma sp4,Primary Forest,,6,,mode,,both,adult,,,,,,,,,,,
