cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Acromyrmex sp1,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acromyrmex sp2,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acromyrmex sp3,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anochetus sp1,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anochetus sp2,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anochetus sp3,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apterostigma sp1,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apterostigma sp2,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apterostigma sp3,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apterostigma sp4,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apterostigma urichii,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Atta cephalotes ,Ecosystem specifity,Open specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Atta sexdens,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Atta sp1,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Atta sp2,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Azteca alfari,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Azteca sp,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brachymyrmex brevicornis,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brachymyrmex sp1,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brachymyrmex sp2,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus cingulatus,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus melanoticus,Ecosystem specifity,Open specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sanctaefidei,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus senex,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sexguttatus,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sp1,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sp2,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sp3,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sp4,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sp5,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sp6,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus substitutus,Ecosystem specifity,Open specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Carebara sp,Ecosystem specifity,Forest generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Carebara urichi,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cephalotes cordatus,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cephalotes pusillus,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cephalotes sp,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster limata,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster sp1,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster sp4,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster sp6,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster victima,Ecosystem specifity,Open specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyphomyrmex laevigatus,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyphomyrmex major,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyphomyrmex sp,Ecosystem specifity,Open specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyphomyrmex sp1,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera gigantea,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dinoponera quadriceps,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dolichoderus gagates,Ecosystem specifity,Forest generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dolichoderus sp1,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dolichoderus sp2,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dolichoderus sp5,Ecosystem specifity,Ecosystem generalists,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dolichoderus sp6,Ecosystem specifity,Forest specialists,,,,moderate,the trait was not extracted for this species
