basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Prionopelta antillana,Functional Groups,Sampling of ants during the dry and rainy seasons using mini-Winkler bags.,SSP,,mode,,both,adult,,,,,,,,,,,
Occurrence,Prionopelta antillana,head length,Sampling using mini-Winkler bags and establishing linear transects and quadrants.,0.509,m,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Prionopelta antillana,head width,sampling and evaluation of taxonomic diversity,,species count,mean,,both,adult,,1,,,,,,,,,
Occurrence,Prionopelta antillana,mandible length,Sampling using mini-Winkler bags and linear transects,,count,mean,,both,adult,,1,,,,,,,,,
Occurrence,Prionopelta antillana,scape length,Field observation and spatial mapping,,"ha, °C, mm, %",mean,,both,adult,,1,,,,,,,,,
Occurrence,Prionopelta antillana,eye length,Sampling using mini-Winkler bags and establishing linear transects and quadrants.,,"ha, m, m²",mean,,both,adult,,1,,,,,,,,,
PreservedSpecimen,Prionopelta antillana,femur length,,,,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Prionopelta antillana,Weber length,,,,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Azteca sp. 1,Functional Groups,Sampling of ants during the dry and rainy seasons using mini-Winkler bags.,,,mode,,both,adult,,,,,,,,,,,
Occurrence,Azteca sp. 1,head length,Sampling using mini-Winkler bags and establishing linear transects and quadrants.,0.78,m,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Azteca sp. 1,head width,sampling and evaluation of taxonomic diversity,0.743,species count,mean,,both,adult,,1,,,,,,,,,
Occurrence,Azteca sp. 1,mandible length,Sampling using mini-Winkler bags and linear transects,0.489,count,mean,,both,adult,,1,,,,,,,,,
Occurrence,Azteca sp. 1,scape length,Field observation and spatial mapping,0.2,"ha, °C, mm, %",mean,,both,adult,,1,,,,,,,,,
Occurrence,Azteca sp. 1,eye length,Sampling using mini-Winkler bags and establishing linear transects and quadrants.,0.157,"ha, m, m²",mean,,both,adult,,1,,,,,,,,,
PreservedSpecimen,Azteca sp. 1,femur length,,0.527,,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Azteca sp. 1,Weber length,,0.89,,mean,,both,adult,,1,,,,,,,,,
PreservedSpecimen,Azteca sp. 1,femur length,,,,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Azteca sp. 1,Weber length,,0.527,,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Dolichoderus bispinosus,Functional Groups,Sampling of ants during the dry and rainy seasons using mini-Winkler bags.,AO,,mode,,both,adult,,,,,,,,,,,
Occurrence,Dolichoderus bispinosus,head length,Sampling using mini-Winkler bags and establishing linear transects and quadrants.,1.655,m,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Dolichoderus bispinosus,head width,sampling and evaluation of taxonomic diversity,,species count,mean,,both,adult,,1,,,,,,,,,
Occurrence,Dolichoderus bispinosus,mandible length,Sampling using mini-Winkler bags and linear transects,,count,mean,,both,adult,,1,,,,,,,,,
Occurrence,Dolichoderus bispinosus,scape length,Field observation and spatial mapping,,"ha, °C, mm, %",mean,,both,adult,,1,,,,,,,,,
Occurrence,Dolichoderus bispinosus,eye length,Sampling using mini-Winkler bags and establishing linear transects and quadrants.,,"ha, m, m²",mean,,both,adult,,1,,,,,,,,,
PreservedSpecimen,Dolichoderus bispinosus,femur length,,,,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Dolichoderus bispinosus,Weber length,,,,mean,,both,adult,,1,,,,,,,,,
HumanObservation,Dolichoderus sp. 2,Functional Groups,Sampling of ants during the dry and rainy seasons using mini-Winkler bags.,AO,,mode,,both,adult,,,,,,,,,,,
Occurrence,Dolichoderus sp. 2,head length,Sampling using mini-Winkler bags and establishing linear transects and quadrants.,1.78,m,mean,,both,adult,,1,,,,,,,,,
