cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Camponotus sp. 7,Femur length,1.524,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Holcoponera strigata,Interocular distance,0.94,0.944,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hylomyrma columbica,Femur length,0.804,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Lachnomyrmex scrobiculatus,Weber length,0.87,,,,moderate,no value was predicted for this trait
species not in prediction,N3 Ants,habitat,tropical dry forest,,,0.50,severe,species not extracted at all
species not in prediction,N3 Ants,habitat,dry forest,,,0.50,severe,species not extracted at all
species not in prediction,N1 Ants,functional redundancy,0.781 ± 0.004,,,0.50,severe,species not extracted at all
species not in prediction,N2 Ants,functional redundancy,0.775 ± 0.005,,,0.50,severe,species not extracted at all
species not in prediction,N3 Ants,funcional equitability,0.65 ± 0.0436,,,0.50,severe,species not extracted at all
"species+trait present, value differs",Odontomachus opaciventris,Interocular distance,0.0572,2.05,,,moderate,predicted a different value for this trait
species not in prediction,N3 Ants,mandible length,0.653±0.096,,,0.50,severe,species not extracted at all
"species+trait present, value differs",Mycetomoellerius sp. 1,Weber length,0.821,,,,moderate,no value was predicted for this trait
species not in prediction,N3 Ants,functional space,42.7 ± 21.3,,,0.50,severe,species not extracted at all
species not in prediction,N3 Ants,functional redundancy,0.757 ± 0.0136,,,0.50,severe,species not extracted at all
"species+trait present, value differs",Lachnomyrmex scrobiculatus,Femur length,0.63,,,,moderate,no value was predicted for this trait
species not in prediction,N1 Ants,funcional equitability,0.618 ± 0.048,,,0.50,severe,species not extracted at all
species not in prediction,N2 Ants,funcional equitability,0.652 ± 0.036,,,0.50,severe,species not extracted at all
"species+trait present, value differs",Camponotus sp. 7,Interocular distance,2,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Mayaponera constricta,Weber length,1.508,2.508,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Camponotus sp. 7,Weber length,1.813,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Mycetomoellerius sp. 1,Femur length,0.581,,,,moderate,no value was predicted for this trait
species not in prediction,N1 Ants,habitat,dry forest,,,0.50,severe,species not extracted at all
species not in prediction,N1 Ants,habitat,dry forest,,,0.50,severe,species not extracted at all
species not in prediction,N2 Ants,habitat,tropical dry forest,,,0.50,severe,species not extracted at all
species not in prediction,N2 Ants,habitat,dry forest,,,0.50,severe,species not extracted at all
species not in prediction,N2 Ants,mandible length,536±0.019,,,0.50,severe,species not extracted at all
species not in prediction,N1 Ants,functional space,5.86 ± 5.68,,,0.50,severe,species not extracted at all
"species+trait present, value differs",Odontomachus bauri,Interocular distance,0.398,2.225,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hylomyrma columbica,Weber length,1.174,,,,moderate,no value was predicted for this trait
species not in prediction,N2 Ants,functional space,9.89 ± 8.22,,,0.50,severe,species not extracted at all
