basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
Occurrence,Antczak-Orlewska et Orlewska al.,Sample code Hu 1–10 Ho 11–19 depth to water table (cm) 0.00 ~,Measurement of depth to water table (DWT) using a meter ruler.,11.00,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Antczak-Orlewska et Orlewska al.,Sample code Hu 1–10 Ho 11–19 -42.00,,LOI (%) 29.67 ~,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Antczak-Orlewska et Orlewska al.,Di 20–27 Po 28–32 Pl 33–44 -62.00,,8.73 ~,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Antczak-Orlewska et Orlewska al.,Di 20–27 Po 28–32 Pl 33–44 -70.00,,9.09 ~,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Antczak-Orlewska et Orlewska al.,Di 20–27 Po 28–32 Pl 33–44 -147.00,,type,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Antczak-Orlewska et Orlewska al.,Di 20–27 Po 28–32 Pl 33–44 -147.00,,type,,mode,,both,larva,,,,,,,,,,,
Occurrence,al.,Sample code Hu 1–10 Ho 11–19 depth to water table (cm) 0.00 ~,Measurement of depth to water table (DWT) using a meter ruler.,(6.70),,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,al.,Sample code Hu 1–10 Ho 11–19 -42.00,,~ -1.00 (-16.22),,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,al.,Di 20–27 Po 28–32 Pl 33–44 -62.00,,~ -5.00 (-31.75),,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,al.,Di 20–27 Po 28–32 Pl 33–44 -70.00,,~ -9.00 (-25.20),,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,al.,Di 20–27 Po 28–32 Pl 33–44 -147.00,,1–16 proposed by,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,al.,Di 20–27 Po 28–32 Pl 33–44 -147.00,,1–16 proposed by,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Ablabesmyia,Morphological type,,M11,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Ablabesmyia,Functional feeding guild,,Prd,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Ablabesmyia,Body size,,size3,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Ablabesmyia,Locomotion,,Sprawler,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Brillia,Morphological type,,M6,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Brillia,Functional feeding guild,,Shr,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Brillia,Body size,,size2,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Brillia,Locomotion,,Sprawler,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chaetocladius dentiforceps-type,Morphological type,,M2,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chaetocladius dentiforceps-type,Functional feeding guild,,CG,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chaetocladius dentiforceps-type,Body size,,size3,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chaetocladius dentiforceps-type,Locomotion,,Sprawler,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomini,Morphological type,,M3,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomini,Functional feeding guild,,CG,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomini,Body size,,size1,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomini,Locomotion,,Burrower,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomus anthracinus-type,Morphological type,,M3,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomus anthracinus-type,Functional feeding guild,,CG,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomus anthracinus-type,Body size,,size3,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomus anthracinus-type,Locomotion,,Burrower,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomus plumosus-type,Morphological type,,M3,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomus plumosus-type,Functional feeding guild,,CG,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomus plumosus-type,Body size,,Size3,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Chironomus plumosus-type,Locomotion,,Burrower,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Cladopelma laccophila-type,Morphological type,,M4,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Cladopelma laccophila-type,Functional feeding guild,,CG,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Cladopelma laccophila-type,Body size,,Size2,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Cladopelma laccophila-type,Locomotion,,Sprawler,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Cladopelma lateralis-type,Morphological type,,M4,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Cladopelma lateralis-type,Functional feeding guild,,CG,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Cladopelma lateralis-type,Body size,,Size2,,mode,,both,larva,,,,,,,,,,,
PreservedSpecimen,Cladopelma lateralis-type,Locomotion,,Sprawler,,mode,,both,larva,,,,,,,,,,,
