basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Abia fasciata,Family,Expert identification of collected specimens,Cimbicidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abia fasciata,Proboscis,,0.8,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abia fasciata,Body,Total body length,12,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Abia fasciata,Foraging,,Non-central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amegilla quadrifasciata,Family,Expert identification of collected specimens,Apidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amegilla quadrifasciata,Proboscis,,8.2,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amegilla quadrifasciata,Body,Total body length,13,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Amegilla quadrifasciata,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena aeneiventris,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena aeneiventris,Proboscis,,1.1,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena aeneiventris,Body,Total body length,7,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena aeneiventris,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena alfkenella,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena alfkenella,Proboscis,,0.95,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena alfkenella,Body,Total body length,5.75,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena alfkenella,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena cineraria,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena cineraria,Proboscis,,2,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena cineraria,Body,Total body length,12,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena cineraria,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena haemorrhoa,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena haemorrhoa,Proboscis,,1.6,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena haemorrhoa,Body,Total body length,9,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena haemorrhoa,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena hattorfiana,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena hattorfiana,Proboscis,,3.5,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena hattorfiana,Body,Total body length,14,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena hattorfiana,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena intermedia,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena intermedia,Proboscis,,2.3,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena intermedia,Body,Total body length,11,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena intermedia,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena labialis,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena labialis,Proboscis,,2,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena labialis,Body,Total body length,11.5,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena labialis,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena lathyri,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena lathyri,Proboscis,,2.7,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena lathyri,Body,Total body length,10,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena lathyri,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena limata,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena limata,Proboscis,,1.85,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena limata,Body,Total body length,11,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena limata,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena pandellei,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena pandellei,Proboscis,,1.95,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena pandellei,Body,Total body length,9.5,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena pandellei,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena schencki,Family,Expert identification of collected specimens,Andrenidae,mm,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena schencki,Proboscis,,2.8,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena schencki,Body,Total body length,12,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Andrena schencki,Foraging,,Central-place forager,mm,mode,,both,adult,,,,,,,,,,,
