basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Lepisiota capensis,Body length,Measurement of morphological traits (body length) on collected specimens,2.675,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lepisiota capensis,Dispersal,Calculated as leg length divided by body length,0.758,ratio,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lepisiota capensis,Colour,,Black Light,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lepisiota capensis,Nesting type,,Ground,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lepisiota capensis,No. of spines,Count of spines (morphological trait),2,count,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lepisiota capensis,Pilosity,Morphological assessment of hairiness/pilosity following trait descriptions in the Global Ants Database.,6,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lepisiota capensis,Sculpturing,"Morphological assessment of the ant's cuticle sculpturing, following trait descriptions in the Global Ants Database.",2,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Monomorium tablense,Body length,Measurement of morphological traits (body length) on collected specimens,1.802,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Monomorium tablense,Dispersal,Calculated as leg length divided by body length,0.497,ratio,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Monomorium tablense,Colour,,brown,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Monomorium tablense,Nesting type,,Ground,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Monomorium tablense,No. of spines,Count of spines (morphological trait),2,count,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Monomorium tablense,Pilosity,Morphological assessment of hairiness/pilosity following trait descriptions in the Global Ants Database.,5,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Monomorium tablense,Sculpturing,"Morphological assessment of the ant's cuticle sculpturing, following trait descriptions in the Global Ants Database.",1,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus werthi,Body length,Measurement of morphological traits (body length) on collected specimens,2.447,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus werthi,Dispersal,Calculated as leg length divided by body length,0.714,ratio,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus werthi,Colour,,Black,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus werthi,Nesting type,,Opportunistic,,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus werthi,No. of spines,Count of spines (morphological trait),2,count,mean,,both,adult,,,,,,,,,,,
