cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Camponotus sp.,Sculpturing,smooth cuticle,1,,,moderate,predicted a different value for this trait
species not in prediction,Carabidae,Colour,Black,,Pheidole caffra,0.58,severe,species not extracted at all
species not in prediction,Carabidae,Colour,Black,,Pheidole caffra,0.58,severe,species not extracted at all
species not in prediction,Carabidae,Colour,Black,,Pheidole caffra,0.58,severe,species not extracted at all
species not in prediction,Carabidae,Colour,Black,,Pheidole caffra,0.58,severe,species not extracted at all
species not in prediction,Carabidae,Colour,Black,,Pheidole caffra,0.58,severe,species not extracted at all
species not in prediction,Carabidae,Colour,Black,,Pheidole caffra,0.58,severe,species not extracted at all
species not in prediction,Carabidae,Colour,Black,,Pheidole caffra,0.58,severe,species not extracted at all
species not in prediction,Carabidae,Colour,Black,,Pheidole caffra,0.58,severe,species not extracted at all
species not in prediction,Carabidae,Colour,Light brown,,Pheidole caffra,0.58,severe,species not extracted at all
species not in prediction,Scarabaeidae,Body length,9.85,,Pheidole caffra,0.59,severe,species not extracted at all
species not in prediction,Scarabaeidae,Body length,2.381,,Pheidole caffra,0.59,severe,species not extracted at all
species not in prediction,Scarabaeidae,Body length,4.289,,Pheidole caffra,0.59,severe,species not extracted at all
species not in prediction,Scarabaeidae,Body length,15.892,,Pheidole caffra,0.59,severe,species not extracted at all
species not in prediction,Scarabaeidae,Body length,5.992,,Pheidole caffra,0.59,severe,species not extracted at all
species not in prediction,Scarabaeidae,Body length,19.726,,Pheidole caffra,0.59,severe,species not extracted at all
species not in prediction,Scarabaeidae,Body length,4.125,,Pheidole caffra,0.59,severe,species not extracted at all
species not in prediction,Scarabaeidae,Body length,5.248,,Pheidole caffra,0.59,severe,species not extracted at all
species not in prediction,Leptogenys castanea,Pilosity,2,,Messor denticornis Leptogenys castanea,0.67,severe,species not extracted at all
species not in prediction,Mordellidae,Colour,Black,,,0.39,severe,species not extracted at all
species not in prediction,Mordellidae,Colour,Black,,,0.39,severe,species not extracted at all
species not in prediction,Mordellidae,Colour,Black,,,0.39,severe,species not extracted at all
species not in prediction,Curculionidae,Dispersal,0.528,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Dispersal,0.733,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Dispersal,0.508,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Dispersal,0.844,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Dispersal,0.889,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Dispersal,0.649,,,0.41,severe,species not extracted at all
species not in prediction,Tenebrionidae,Body length,6.264,,,0.39,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,2.005,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,2.206,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,1.764,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,2.015,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,1.376,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,1.838,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,4.667,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,4.519,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,6.481,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,4.262,,,0.43,severe,species not extracted at all
species not in prediction,Chrysomelidae,Body length,2.855,,,0.43,severe,species not extracted at all
species not in prediction,Curculionidae,Feeding guild,Herbivore,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Feeding guild,Herbivore,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Feeding guild,Herbivore,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Feeding guild,Herbivore,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Feeding guild,Herbivore,,,0.41,severe,species not extracted at all
species not in prediction,Curculionidae,Feeding guild,Herbivore,,,0.41,severe,species not extracted at all
species not in prediction,Leptogenys castanea,Colour,Light brown,,Messor denticornis Leptogenys castanea,0.67,severe,species not extracted at all
species not in prediction,Leptogenys castanea,Nesting type,Opportunistic,,Messor denticornis Leptogenys castanea,0.67,severe,species not extracted at all
"species+trait present, value differs",Pheidole caffra,Sculpturing,smooth cuticle,1,,,moderate,predicted a different value for this trait
species not in prediction,Leptogenys castanea,No. of spines,0,,Messor denticornis Leptogenys castanea,0.67,severe,species not extracted at all
"species+trait present, value differs",Technomyrmex pallipes,Sculpturing,shallow wrinkles,2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lepisiota capensis,Colour,Black,Black Light,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Crematogaster delagoensis,Sculpturing,shallow wrinkles,2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tetramorium capense,Sculpturing,shallow wrinkles,2,,,moderate,predicted a different value for this trait
species not in prediction,Melyridae,Body length,5.387,,,0.40,severe,species not extracted at all
species not in prediction,Melyridae,Body length,9.408,,,0.40,severe,species not extracted at all
