basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Andrena Plastandrena prunorum,Functional traits diet breadth,,generalist[1],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Plastandrena prunorum,Functional traits nesting location,Classification based on taxonomic identification and literature review/expert consultation,below ground[2],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Plastandrena prunorum,Functional traits social organization,"Classification based on published literature and taxonomic keys (e.g., Michener, 2007; Buchholz & Egerer, 2020)",solitary[2],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Plastandrena prunorum,sweep netting females,Sweep netting of wild bees from flowering nursery stock,0,count,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Plastandrena prunorum,sweep netting males,Sweep netting (30 min collection from flowering nursery stock),1,%,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena Plastandrena prunorum,vane trapping females,,0,%,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Plastandrena prunorum,vane trapping males,,5,count,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Simandrena angustitarsata,Functional traits diet breadth,,generalist[3],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Simandrena angustitarsata,Functional traits nesting location,Classification based on taxonomic identification and literature review/expert consultation,below ground[2],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Simandrena angustitarsata,Functional traits social organization,"Classification based on published literature and taxonomic keys (e.g., Michener, 2007; Buchholz & Egerer, 2020)",solitary[2],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Simandrena angustitarsata,sweep netting females,Sweep netting of wild bees from flowering nursery stock,1,count,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Simandrena angustitarsata,sweep netting males,Sweep netting (30 min collection from flowering nursery stock),0,%,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena Simandrena angustitarsata,vane trapping females,,1,%,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,Andrena Simandrena angustitarsata,vane trapping males,,0,count,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,Andrena unk sp. 2c-A,Functional traits diet breadth,,specialist[4],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena unk sp. 2c-A,Functional traits nesting location,Classification based on taxonomic identification and literature review/expert consultation,below ground[2],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena unk sp. 2c-A,Functional traits social organization,"Classification based on published literature and taxonomic keys (e.g., Michener, 2007; Buchholz & Egerer, 2020)",solitary[2],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena unk sp. 2c-A,sweep netting females,Sweep netting of wild bees from flowering nursery stock,0,count,mean,,both,adult,,,,,,,,,,,
HumanObservation,Andrena unk sp. 2c-A,sweep netting males,Sweep netting (30 min collection from flowering nursery stock),0,%,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena unk sp. 2c-A,vane trapping females,,5,%,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,Andrena unk sp. 2c-A,vane trapping males,,1,count,mean ± SE,,both,adult,,,,,,,,,,,
HumanObservation,Andrena unk sp. 2c-B,Functional traits diet breadth,,specialist[4],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena unk sp. 2c-B,Functional traits nesting location,Classification based on taxonomic identification and literature review/expert consultation,below ground[2],,mode,,both,adult,,,,,,,,,,,
HumanObservation,Andrena unk sp. 2c-B,Functional traits social organization,"Classification based on published literature and taxonomic keys (e.g., Michener, 2007; Buchholz & Egerer, 2020)",solitary[2],,mode,,both,adult,,,,,,,,,,,
