cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Colletes sp. A2,nesting location,below ground,,Colletes,0.73,severe,species not extracted at all
species not in prediction,Osmia sp. F,diet breadth,generalist,,Osmia sp. 1,0.90,severe,species not extracted at all
species not in prediction,Lasioglossum sp. diaD,social organization,eusocial,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Lasioglossum sp. EV01,diet breadth,generalist,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Lasioglossum sp. dia1,nesting location,below ground,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Lasioglossum sp. disB,social organization,eusocial,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Melissodes sp. B,nesting location,below ground,,Megachile sp. 2,0.55,severe,species not extracted at all
"species+trait present, value differs",Andrena sp. 2c-A,diet breadth,specialist,specialist[4],,,moderate,predicted a different value for this trait
species not in prediction,Megachile sp. X,diet breadth,generalist,,Megachile sp. 2,0.86,severe,species not extracted at all
species not in prediction,Osmia sp. C,nesting location,cavity,,Osmia sp. 1,0.90,severe,species not extracted at all
species not in prediction,Lasioglossum sp. EV02,nesting location,below ground,,Lasioglossum,0.75,severe,species not extracted at all
"species+trait present, value differs",Anthophora curta,diet breadth,generalist,generalist[3],,,moderate,predicted a different value for this trait
"species+trait present, value differs",Apis mellifera,nesting location,cavity,cavity[2],,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena prunorum,diet breadth,generalist,generalist[1],,,moderate,predicted a different value for this trait
species not in prediction,Xeromelecta californica,social organization,cleptoparasitic,,Xeromelecta,0.65,severe,species not extracted at all
species not in prediction,Lasioglossum sp. EV07,social organization,eusocial,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Ashmeadiella cubiceps,social organization,solitary,,Ashmeadiella sp. 1,0.74,severe,species not extracted at all
"species+trait present, value differs",Ceratina micheneri,social organization,solitary,solitary[2],,,moderate,predicted a different value for this trait
species not in prediction,Agapostemon femoratus,diet breadth,generalist,,Agapostemon,0.69,severe,species not extracted at all
species not in prediction,Lasioglossum sp. dia5,social organization,eusocial,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Eucera lunata,nesting location,below ground,,,0.50,severe,species not extracted at all
species not in prediction,Melissodes sp. D,diet breadth,generalist,,Megachile sp. 2,0.55,severe,species not extracted at all
species not in prediction,Lasioglossum sp. dia8,social organization,eusocial,,Lasioglossum,0.75,severe,species not extracted at all
"species+trait present, value differs",Anthophorula albicans,social organization,solitary,solitary[2],,,moderate,predicted a different value for this trait
species not in prediction,Megachile sp. 5,diet breadth,generalist,,Megachile sp. 2,0.93,severe,species not extracted at all
"species+trait present, value differs",Bombus vosnesenskii,social organization,eusocial,eusocial[3],,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bombus crotchii,social organization,eusocial,eusocial[3],,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bombus vandykei,social organization,eusocial,eusocial[3],,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena sp. 3c-D,social organization,solitary,solitary[2],,,moderate,predicted a different value for this trait
species not in prediction,Megachile sp. D,social organization,solitary,,Megachile sp. 2,0.93,severe,species not extracted at all
"species+trait present, value differs",Ceratina arizonensis,diet breadth,generalist,generalist[3],,,moderate,predicted a different value for this trait
species not in prediction,Osmia sp. G,diet breadth,generalist,,Osmia sp. 1,0.90,severe,species not extracted at all
species not in prediction,Osmia sp. F,nesting location,cavity,,Osmia sp. 1,0.90,severe,species not extracted at all
species not in prediction,Colletes sp. A1,diet breadth,generalist,,Colletes,0.73,severe,species not extracted at all
species not in prediction,Megachile sp. 3b,diet breadth,generalist,,Megachile sp. 2,0.90,severe,species not extracted at all
species not in prediction,Lasioglossum sp. EV01,nesting location,below ground,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Megachile sp. I,nesting location,cavity,,Megachile sp. 2,0.93,severe,species not extracted at all
species not in prediction,Augochlorella pomoniella,social organization,eusocial,,Augochlorella,0.70,severe,species not extracted at all
species not in prediction,Lasioglossum sp. EV04,nesting location,below ground,,Lasioglossum,0.75,severe,species not extracted at all
"species+trait present, value differs",Anthophora urbana,diet breadth,generalist,generalist[3],,,moderate,predicted a different value for this trait
species not in prediction,Triepeolus concavus,nesting location,cleptoparasitic,,Triepeolus,0.69,severe,species not extracted at all
species not in prediction,Megachile sp. J,social organization,solitary,,Megachile sp. 2,0.93,severe,species not extracted at all
species not in prediction,Peponapis pruinosa,diet breadth,specialist,,Peponapis*,0.67,severe,species not extracted at all
species not in prediction,Lasioglossum sp. disD,diet breadth,generalist,,Lasioglossum,0.75,severe,species not extracted at all
"species+trait present, value differs",Bombus melanopygus,diet breadth,generalist,generalist[3],,,moderate,predicted a different value for this trait
species not in prediction,Ashmeadiella meliloti,diet breadth,generalist,,Ashmeadiella sp. 1,0.68,severe,species not extracted at all
species not in prediction,Lasioglossum sp. EV06,nesting location,below ground,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Melissodes sp. C,social organization,solitary,,Megachile sp. 2,0.55,severe,species not extracted at all
species not in prediction,Lasioglossum sp. dia4,social organization,eusocial,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Diadasia angusticeps,social organization,solitary,,,0.48,severe,species not extracted at all
species not in prediction,Megachile sp. 3a,diet breadth,generalist,,Megachile sp. 2,0.90,severe,species not extracted at all
species not in prediction,Megachile sp. 5,nesting location,cavity,,Megachile sp. 2,0.93,severe,species not extracted at all
"species+trait present, value differs",Bombus californicus,social organization,eusocial,eusocial[3],,,moderate,predicted a different value for this trait
species not in prediction,Anthophora californica,social organization,solitary,,Anthophora Anthophoroides californica,0.75,severe,species not extracted at all
species not in prediction,Hylaeus mesillae,diet breadth,generalist,,Hylaeus,0.61,severe,species not extracted at all
species not in prediction,Ashmeadiella difugita,social organization,solitary,,Ashmeadiella sp. 1,0.68,severe,species not extracted at all
species not in prediction,Ashmeadiella bucconis,diet breadth,generalist,,Ashmeadiella sp. 1,0.74,severe,species not extracted at all
"species+trait present, value differs",Ceratina arizonensis,nesting location,below ground,cavity[2],,,moderate,predicted a different value for this trait
species not in prediction,Lasioglossum sp. dia7,nesting location,below ground,,Lasioglossum,0.75,severe,species not extracted at all
"species present, trait missing",Hoplitis sp. 1,social organization,solitary,,,,moderate,the trait was not extracted for this species
species not in prediction,Perdita sp. E,social organization,solitary,,Perdita rhois,0.72,severe,species not extracted at all
species not in prediction,Dianthidium pudicum,social organization,solitary,,Dianthidium,0.73,severe,species not extracted at all
species not in prediction,Halictus ligatus,diet breadth,generalist,,Halictus,0.67,severe,species not extracted at all
species not in prediction,Megachile sp. G,nesting location,cavity,,Megachile sp. 2,0.93,severe,species not extracted at all
species not in prediction,Peponapis pruinosa,nesting location,below ground,,Peponapis*,0.67,severe,species not extracted at all
species not in prediction,Ashmeadiella meliloti,nesting location,cavity,,Ashmeadiella sp. 1,0.68,severe,species not extracted at all
species not in prediction,Sphecodes sp. A,diet breadth,cleptoparasitic,,Sphecodes,0.86,severe,species not extracted at all
species not in prediction,Lasioglossum sp. LA02,diet breadth,generalist,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Diadasia nitidifrons,social organization,solitary,,,0.52,severe,species not extracted at all
species not in prediction,Dieunomia nevadensis,diet breadth,generalist,,Bombus nevadensis,0.70,severe,species not extracted at all
species not in prediction,Xylocopa varipuncta,diet breadth,generalist,,Xylocopa,0.59,severe,species not extracted at all
species not in prediction,Megachile inimca,social organization,solitary,,Megachile sp. 2,0.67,severe,species not extracted at all
species not in prediction,Osmia sp. H,diet breadth,generalist,,Osmia sp. 1,0.90,severe,species not extracted at all
species not in prediction,Agapostemon texanus,nesting location,below ground,,Agapostemon,0.73,severe,species not extracted at all
species not in prediction,Ashmeadiella salviae,nesting location,cavity,,Ashmeadiella sp. 1,0.76,severe,species not extracted at all
species not in prediction,Megachile brevis,diet breadth,generalist,,Megachile sp. 2,0.67,severe,species not extracted at all
species not in prediction,Perdita mojavensis,nesting location,below ground,,Perdita micheneri,0.69,severe,species not extracted at all
species not in prediction,Melissodes sp. A,diet breadth,generalist,,,0.52,severe,species not extracted at all
species not in prediction,Diadasia ochracea,diet breadth,specialist,,,0.48,severe,species not extracted at all
species not in prediction,Lasioglossum sp. disA,social organization,eusocial,,Lasioglossum,0.75,severe,species not extracted at all
species not in prediction,Melecta pacifica,social organization,cleptoparasitic,,,0.52,severe,species not extracted at all
species not in prediction,Lasioglossum sp. disE,diet breadth,generalist,,Lasioglossum,0.75,severe,species not extracted at all
"species+trait present, value differs",Anthophora sp. A,social organization,solitary,solitary[8],,,moderate,predicted a different value for this trait
"species present, trait missing",Dufourea sp. 2,social organization,solitary,,,,moderate,the trait was not extracted for this species
species not in prediction,Hoplitis sp. 2,diet breadth,generalist,,Hoplitis sp. 1,0.92,severe,species not extracted at all
species not in prediction,Osmia sp. A,diet breadth,generalist,,Osmia sp. 1,0.89,severe,species not extracted at all
species not in prediction,Osmia sp. E,diet breadth,generalist,,Osmia sp. 1,0.90,severe,species not extracted at all
species not in prediction,Xenoglossa patricia,social organization,solitary,,Xenoglossa,0.69,severe,species not extracted at all
species not in prediction,Triepeolus sp. B,diet breadth,cleptoparasitic,,Triepeolus,0.80,severe,species not extracted at all
species not in prediction,Colletes sp. B,nesting location,below ground,,Colletes,0.76,severe,species not extracted at all
"species+trait present, value differs",Bombus nevadensis,diet breadth,generalist,generalist[3],,,moderate,predicted a different value for this trait
species not in prediction,Oreopasites sp. A,diet breadth,cleptoparasitic,,Hoplitis sp. 1,0.59,severe,species not extracted at all
species not in prediction,Diadasia bituberculata,nesting location,below ground,,Perdita interrupta,0.55,severe,species not extracted at all
species not in prediction,Perdita sp. F,social organization,solitary,,Perdita rhois,0.72,severe,species not extracted at all
species not in prediction,Perdita sp. B,diet breadth,specialist,,Perdita rhois,0.72,severe,species not extracted at all
species not in prediction,Diadasia laticauda,social organization,solitary,,,0.47,severe,species not extracted at all
