basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,Flight season start,,6/5,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,Flight season end,,20/10,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,body colors,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,body colortypes,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,body patterns,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,mate guarding,,NA,,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,flight mode,,flier,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,territoriality,,NA,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,aquatic habitats,,NA,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,habitat openness,,NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,body lengths,Data extraction from the Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,hindwing lengths,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,has wing pigment,Retrieval from the Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment extent discrete,,NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment extent continuous,,NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment symmetry,,NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment color,,NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment placement,,NA,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,Flight season start,,5.06,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,Flight season end,,10.2,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,body colors,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,body colortypes,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,body patterns,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,mate guarding,,NA,,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,flight mode,,flier,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,territoriality,,NA,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,aquatic habitats,,NA,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,habitat openness,,NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,body lengths,Data extraction from the Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,hindwing lengths,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,has wing pigment,Retrieval from the Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment extent discrete,,NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment extent continuous,,NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment symmetry,,NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment color,,NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.canadensis Aeshna canadensis Aeshnidae Anisoptera,wing pigment placement,,NA,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,Flight season start,,22/6,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,Flight season end,,26/9,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,body colors,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,body colortypes,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,body patterns,Odonate Phenotypic Database (http://www.odonatephenotypicdatabase.org),NA,,single observation,,both,adult,,,,,,,,,,,
,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,mate guarding,,NA,,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,flight mode,,flier,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,territoriality,,NA,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,aquatic habitats,,NA,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aeshna.clepsydra Aeshna clepsydra Aeshnidae Anisoptera,habitat openness,,NA,,single observation,,both,adult,,,,,,,,,,,
