basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Phacochoerus africanus,BODY SIZE FINAL,proportion of range with human footprint 4 or higher,91249.995,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Phacochoerus africanus,OFFSPRING SIZE FINAL,proportion of range with human footprint 4 or higher,660,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,FECUNDITY FINAL,proportion of range with human footprint 4 or higher,3.0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,GENERATION LENGTH FINAL,proportion of range with human footprint 4 or higher,20.9,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,DIET BREADTH FINAL,proportion of range with human footprint 4 or higher,3.0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,TROPHIC LEVEL FINAL,proportion of range with human footprint 4 or higher,2.0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,DISPERSAL ABILITY FINAL,proportion of range with human footprint 4 or higher,12.689,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,MICROHABITAT FINAL,proportion of range with human footprint 4 or higher,2.0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,HABITAT BREADTH FINAL,proportion of range with human footprint 4 or higher,8.0,,mean,,both,adult,,,,,,,,,,,
,Phacochoerus africanus,ALTITUDE MIN FINAL,proportion of range with human footprint 4 or higher,0.0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Phacochoerus africanus,ALTITUDE MAX FINAL,proportion of range with human footprint 4 or higher,3500.0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Phacochoerus africanus,HFP2009 FINAL,proportion of range with human footprint 4 or higher,7.08446373115296,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Phacochoerus africanus,dHFP FINAL,proportion of range with human footprint 4 or higher,0.746000450940133,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,GEOGRAPHICAL RANGE SIZE FINAL,proportion of range with human footprint 4 or higher,NA,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,HUMAN FOOTPRINT FINAL,proportion of range with human footprint 4 or higher,6.19553995132446,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Phacochoerus africanus,HABITAT CONVERSION FINAL,proportion of range with human footprint 4 or higher,75.0576013388667,,mode,,both,adult,,,,,,,,,,,
