cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Dolichopoda aegilion,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pseudopodisma nagyi,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Brachyphymus vylderi,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ornithoptera alexandrae,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cophopodisma pyrenaea,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isandrus gibbosus,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Aulacobothrus popovi,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phymeurus macropterus,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ornithoptera goliath,Diet Breadth,monophagous,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Antaxius florezi,Microhabitat,arbusticolous,4.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Arminda lancerottensis,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eupholidoptera tyrrhenica,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Zubovskya banatica,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Erebia lefebvrei,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Procytettix hova,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phymeurus angolensis,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Euschmidtia dirshi,Microhabitat,arboricolous,5.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Acinipe segurensis,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bicyclus martius,Diet Breadth,monophagous,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Petaloptila fermini,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bullacris obliqua,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cedarbergeniana imperfecta,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bradyporus dasypus,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Arminda burri,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Psorodonotus ebneri,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya harzi,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Steropleurus andalusius,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phymeurus macropterus,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calliptamus plebeius,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calliptamicus semiroseus,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chorthippus ilkazi,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amblyphymus roseus,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Heteracris coerulipes,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Poecilimon bidens,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Zubovskya banatica,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya longicaudata,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Battus belus,Diet Breadth,monophagous,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Procytettix hova,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amyttacta marakelensis,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Antaxius florezi,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Italopodisma acuminata,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Thymochares modestus,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ornithoptera victoriae,Diet Breadth,monophagous,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bradyporus dasypus,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Euschmidtia dirshi,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calliptamuloides minimus,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Psorodonotus ebneri,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Acinipe segurensis,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Purpuraria erna,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Metaplastes pulchripennis,Microhabitat,arboricolous,5.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Clonia vansoni,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calliptamus plebeius,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Oxyecous lesnei,Microhabitat,arboricolous,5.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya hospodar,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calliptamicus semiroseus,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bullacris obliqua,Dispersal Ability,dimorphic,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amblyphymus roseus,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Heteracris coerulipes,Microhabitat,arbusticolous,4.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Arminda burri,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Poecilimon bidens,Microhabitat,arbusticolous,4.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya bureschi,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cryptotettix similis,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Papilio caiguanabus,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Physemacris variolosa,Dispersal Ability,dimorphic,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ephippiger camillae,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amyttacta marakelensis,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amblyphymus rubripes,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chorthippus ilkazi,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Parodontomelus verticulus,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Thymochares bolivari,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya longicaudata,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Allaga ambigua,Microhabitat,arboricolous,5.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya lemnotica,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Purpuraria erna,Microhabitat,arbusticolous,4.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ornithoptera paradisea,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Italopodisma acuminata,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Italopodisma lucianae,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Agkistropleuron simplex,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Orthoxiphus nigrifrons,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eupholidoptera latens,Microhabitat,arbusticolous,4.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eurycorypha lesnei,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Parides ascanius,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyrgus cirsii,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Clonia vansoni,Microhabitat,arbusticolous,4.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Thymochares modestus,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ornithoptera aesacus,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Zeuneriana abbreviata,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calliptamuloides minimus,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya bureschi,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cryptotettix similis,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Physemacris variolosa,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Metaplastes pulchripennis,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ephippiger camillae,Microhabitat,arbusticolous,4.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Afrophlaeoba nguru,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Oxyecous lesnei,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya hospodar,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Parodontomelus verticulus,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tarsocera cassus,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Peripodisma tymphii,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pelerinus rostratus,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Thymochares bolivari,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dolichopoda geniculata,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Stugeta carpenteri,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dolichopoda aegilion,Microhabitat,troglobiont,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amblyphymus rubripes,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Italopodisma lucianae,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Agkistropleuron simplex,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyrgacris descampsi,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Orthoxiphus nigrifrons,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Kevanacris squamiptera,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cophopodisma pyrenaea,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hipparchia fagi,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Allaga ambigua,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya lemnotica,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Erebia styx,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pseudopodisma nagyi,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Brachyphymus vylderi,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eupholidoptera latens,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eurycorypha lesnei,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Afrophlaeoba nguru,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isandrus gibbosus,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Zeuneriana abbreviata,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Arminda lancerottensis,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eupholidoptera tyrrhenica,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Aulacobothrus popovi,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pelerinus rostratus,Microhabitat,arbusticolous,4.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hypochrysops ignita,Diet Breadth,polyphagous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dolichopoda geniculata,Microhabitat,troglobiont,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Petaloptila fermini,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Erebia zapateri,Diet Breadth,oligophagous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyrgacris descampsi,Microhabitat,arboricolous,5.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Kevanacris squamiptera,Microhabitat,terricolous,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Peripodisma tymphii,Dispersal Ability,flightless,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cedarbergeniana imperfecta,Microhabitat,troglobiont,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phymeurus angolensis,Dispersal Ability,winged,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isophya harzi,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Steropleurus andalusius,Microhabitat,graminicolous/forbicolous,3.0,,,moderate,predicted a different value for this trait
