cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Epicharis sp.,Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apis mellifera,Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Eulaema cingulata, Eulaema polychroma",Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
species not in prediction,"Partamona sp., Parapartamona sp.",Body size,1.6 (0.13),,"Partamona sp., Para-partamona sp.",0.98,severe,species not extracted at all
"species present, trait missing",Xylocopa frontalis (Olivier),Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thygater,Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Centris sp., Xylocopa lachea",Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
species not in prediction,"Partamona sp., Parapartamona sp.",Nest location,Above,,"Partamona sp., Para-partamona sp.",0.98,severe,species not extracted at all
"species present, trait missing","Bombus atratus, Bombus hortulanus,Bombus melaleucus",Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
species not in prediction,"Partamona sp., Parapartamona sp.",Social behavior,Eusocial,,"Partamona sp., Para-partamona sp.",0.98,severe,species not extracted at all
species not in prediction,"Partamona sp., Parapartamona sp.",Altitude,800-3000 above sea level,,"Partamona sp., Para-partamona sp.",0.98,severe,species not extracted at all
species not in prediction,"Partamona sp., Parapartamona sp.",Hair length,0.15 (0.039),,"Partamona sp., Para-partamona sp.",0.98,severe,species not extracted at all
species not in prediction,"Partamona sp., Parapartamona sp.",Structure carrying pollen,Scopa,,"Partamona sp., Para-partamona sp.",0.98,severe,species not extracted at all
species not in prediction,"Partamona sp., Parapartamona sp.",Amount body hair,Scarse,,"Partamona sp., Para-partamona sp.",0.98,severe,species not extracted at all
