basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Apis mellifera,Cluster Cluster,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apis mellifera,Body size Mean,,3.0 (0.10),,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apis mellifera,Hair length Mean,,0.66 (0.052),mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Apis mellifera,Social behavior Social behavior,Data obtained from the literature (Table S1),Eusocial,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apis mellifera,Amount body hair Amount body hair,,Moderate,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Apis mellifera,Nest location Nest location,Data obtained from the literature (see Table S1),Above,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apis mellifera,Structure carrying pollen Structure carrying pollen,Direct observation and measurement on collected specimens,Corbícula,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apis mellifera,Granadilla pollen Mean,,17.6 (29.9),count,mean ± SD,,both,adult,,,,,,,,,,,
HumanObservation,Apis mellifera,Total pollen Mean,,42.4 (55.7),count,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa frontalis,Cluster Cluster,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa frontalis,Body size Mean,,8.0 (0.35),,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa frontalis,Hair length Mean,,0.96 (0.102),mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Xylocopa frontalis,Social behavior Social behavior,Data obtained from the literature (Table S1),Solitary,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa frontalis,Amount body hair Amount body hair,,Scarse,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Xylocopa frontalis,Nest location Nest location,Data obtained from the literature (see Table S1),Above,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa frontalis,Structure carrying pollen Structure carrying pollen,Direct observation and measurement on collected specimens,Corbícula,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa frontalis,Granadilla pollen Mean,,49.2 (74.8),count,mean ± SD,,both,adult,,,,,,,,,,,
HumanObservation,Xylocopa frontalis,Total pollen Mean,,506.2 (560.9),count,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Partamona sp., Para-partamona sp.",Cluster Cluster,,3,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Partamona sp., Para-partamona sp.",Body size Mean,,1.6 (0.13),,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Partamona sp., Para-partamona sp.",Hair length Mean,,0.15 (0.039),mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,"Partamona sp., Para-partamona sp.",Social behavior Social behavior,Data obtained from the literature (Table S1),Eusocial,,mode,,both,adult,,,,,,,,,,,
