cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Partamona sp.,Hair length,0.15 (0.039),,"Partamona sp., Para-partamona sp.",0.57,severe,species not extracted at all
species not in prediction,Eulaema cingulata,Amount body hair,Abundant,,"Eulaema cingulata, Eulaema polychroma",0.64,severe,species not extracted at all
species not in prediction,Partamona sp.,Structure carrying pollen,Scopa,,"Partamona sp., Para-partamona sp.",0.57,severe,species not extracted at all
species not in prediction,Bombus hortulanus,Body size,4.9 (0.94),,,0.51,severe,species not extracted at all
species not in prediction,Centris sp.,Amount body hair,Moderate,,Epicharis sp.,0.64,severe,species not extracted at all
"species present, trait missing",Epicharis sp.,Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
species not in prediction,Bombus melaleucus,Hair length,1.4 (0.173),,,0.51,severe,species not extracted at all
"species present, trait missing",Apis mellifera,Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
species not in prediction,Parapartamona sp.,Hair length,0.15 (0.039),,"Partamona sp., Para-partamona sp.",0.70,severe,species not extracted at all
species not in prediction,Parapartamona sp.,Structure carrying pollen,Scopa,,"Partamona sp., Para-partamona sp.",0.70,severe,species not extracted at all
species not in prediction,Bombus melaleucus,Nest location,Under,,,0.51,severe,species not extracted at all
species not in prediction,Xylocopa lachea,Hair length,1.1 (0.256),,"Centris sp., Xylocopa lachea",0.73,severe,species not extracted at all
species not in prediction,Xylocopa lachea,Structure carrying pollen,Scopa,,"Centris sp., Xylocopa lachea",0.73,severe,species not extracted at all
species not in prediction,Partamona sp.,Amount body hair,Scarse,,"Partamona sp., Para-partamona sp.",0.57,severe,species not extracted at all
species not in prediction,Bombus hortulanus,Social behavior,Parasocial,,,0.51,severe,species not extracted at all
species not in prediction,Bombus atratus,Hair length,1.4 (0.173),,,0.44,severe,species not extracted at all
species not in prediction,Bombus atratus,Structure carrying pollen,Scopa,,,0.44,severe,species not extracted at all
species not in prediction,Bombus atratus,Nest location,Under,,,0.44,severe,species not extracted at all
species not in prediction,Parapartamona sp.,Amount body hair,Scarse,,"Partamona sp., Para-partamona sp.",0.70,severe,species not extracted at all
species not in prediction,Xylocopa lachea,Amount body hair,Moderate,,"Centris sp., Xylocopa lachea",0.73,severe,species not extracted at all
species not in prediction,Bombus atratus,Amount body hair,Moderate,,,0.44,severe,species not extracted at all
"species present, trait missing","Eulaema cingulata, Eulaema polychroma",Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
species not in prediction,Bombus hortulanus,Nest location,Under,,,0.51,severe,species not extracted at all
species not in prediction,Eulaema polychroma,Body size,5.8 (0.52),,"Eulaema cingulata, Eulaema polychroma",0.67,severe,species not extracted at all
species not in prediction,Bombus melaleucus,Structure carrying pollen,Scopa,,,0.51,severe,species not extracted at all
species not in prediction,Xylocopa frontalis (Olivier),Altitude,800-3000 above sea level,,Xylocopa frontalis,0.82,severe,species not extracted at all
species not in prediction,Eulaema cingulata,Body size,5.8 (0.52),,"Eulaema cingulata, Eulaema polychroma",0.64,severe,species not extracted at all
"species present, trait missing",Thygater,Altitude,800-3000 above sea level,,,,moderate,the trait was not extracted for this species
