basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Mastotermes darwiniensis Froggatt,Direct search,,3.8,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Mastotermes darwiniensis Froggatt,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Mastotermes darwiniensis Froggatt,Total,,3.1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Mastotermes darwiniensis Froggatt,Feeding group,,wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Mastotermes darwiniensis Froggatt,Nesting group,,wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Mastotermes darwiniensis Froggatt,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Coptotermes acinaciformis Froggatt,Direct search,,7.5,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Coptotermes acinaciformis Froggatt,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Coptotermes acinaciformis Froggatt,Total,,6.3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Coptotermes acinaciformis Froggatt,Feeding group,,wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Coptotermes acinaciformis Froggatt,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Coptotermes acinaciformis Froggatt,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Coptotermes acinaciformis Froggatt,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Coptotermes acinaciformis Froggatt,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Schedorhinotermes actuosus,Direct search,,12.5,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Schedorhinotermes actuosus,Baits,,25.0,%,range,,both,adult,,,,,,,,,,,
,Schedorhinotermes actuosus,Total,,14.6,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Schedorhinotermes actuosus,Feeding group,,wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Schedorhinotermes actuosus,Nesting group,,hypogeal,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Schedorhinotermes actuosus,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Schedorhinotermes actuosus,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Schedorhinotermes actuosus,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Schedorhinotermes actuosus,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heterotermes vagus,Direct search,,0,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heterotermes vagus,Baits,,25.0,%,range,,both,adult,,,,,,,,,,,
,Heterotermes vagus,Total,,4.2,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Heterotermes vagus,Feeding group,,wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heterotermes vagus,Nesting group,,hypogeal,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Heterotermes vagus,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heterotermes venustus,Direct search,,0,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heterotermes venustus,Baits,,18.75,%,range,,both,adult,,,,,,,,,,,
,Heterotermes venustus,Total,,3.1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Heterotermes venustus,Feeding group,,wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heterotermes venustus,Nesting group,,hypogeal,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Heterotermes venustus,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amitermes perelegans,Direct search,,1.3,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amitermes perelegans,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Amitermes perelegans,Total,,1.0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amitermes perelegans,Feeding group,,soil,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amitermes perelegans,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amitermes perelegans,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ephelotermes melachoma Miller,Direct search,,1.3,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ephelotermes melachoma Miller,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Ephelotermes melachoma Miller,Total,,1.0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes melachoma Miller,Feeding group,,wood/soil interface,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ephelotermes melachoma Miller,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes melachoma Miller,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ephelotermes taylori,Direct search,,6.3,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ephelotermes taylori,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Ephelotermes taylori,Total,,5.2,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes taylori,Feeding group,,wood/soil interface,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ephelotermes taylori,Nesting group,,hypogeal,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ephelotermes taylori,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes taylori,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes taylori,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ephelotermes taylori,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Macrognathotermes errator Miller,Direct search,,1.3,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Macrognathotermes errator Miller,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Macrognathotermes errator Miller,Total,,1.0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Macrognathotermes errator Miller,Feeding group,,soil,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Macrognathotermes errator Miller,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Macrognathotermes errator Miller,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Macrognathotermes sunteri,Direct search,,2.5,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Macrognathotermes sunteri,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Macrognathotermes sunteri,Total,,2.1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Macrognathotermes sunteri,Feeding group,,wood/soil interface,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Macrognathotermes sunteri,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Macrognathotermes sunteri,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microcerotermes boreus Hill,Direct search,,12.5,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microcerotermes boreus Hill,Baits,,25.0,%,range,,both,adult,,,,,,,,,,,
,Microcerotermes boreus Hill,Total,,14.6,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes boreus Hill,Feeding group,,wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microcerotermes boreus Hill,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes boreus Hill,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes boreus Hill,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes boreus Hill,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes boreus Hill,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microcerotermes serratus,Direct search,,1.3,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microcerotermes serratus,Baits,,6.25,%,range,,both,adult,,,,,,,,,,,
,Microcerotermes serratus,Total,,2.1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes serratus,Feeding group,,wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microcerotermes serratus,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes serratus,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes serratus,Microhabitat found,,bait,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microcerotermes nervosus Hill,Direct search,,7.5,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microcerotermes nervosus Hill,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Microcerotermes nervosus Hill,Total,,6.3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes nervosus Hill,Feeding group,,wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Microcerotermes nervosus Hill,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Microcerotermes nervosus Hill,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nasutitermes eucalypti,Direct search,,36.3,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nasutitermes eucalypti,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Nasutitermes eucalypti,Total,,30.2,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes eucalypti,Feeding group,,wood/soil interface,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nasutitermes eucalypti,Nesting group,,found in mounds of other termites,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes eucalypti,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes eucalypti,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes eucalypti,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nasutitermes graveolus,Direct search,,1.3,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nasutitermes graveolus,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Nasutitermes graveolus,Total,,1.0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes graveolus,Feeding group,,wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nasutitermes graveolus,Nesting group,,arboreal,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes graveolus,Microhabitat found,,lying dead wood,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nasutitermes longipennis,Direct search,,5.0,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nasutitermes longipennis,Baits,,0,%,range,,both,adult,,,,,,,,,,,
,Nasutitermes longipennis,Total,,4.2,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes longipennis,Feeding group,,polyphagous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Nasutitermes longipennis,Nesting group,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes longipennis,Microhabitat found,,mound,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Nasutitermes longipennis,Microhabitat found,,standing dead wood,,mode,,both,adult,,,,,,,,,,,
