basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Crematogaster levior,Nesting habits,,"Carton nests, ant gardens, polydomous, parabiosis with Camponotus femoratus",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster levior,1,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster levior,2,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster levior,3,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster levior,4,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster levior,5,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Camponotus femoratus,Nesting habits,,"Semi-spherical carton nests, ant gardens, polydomous, parabiosis with Crematogaster levior",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Camponotus femoratus,1,,positive,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Camponotus femoratus,2,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Camponotus femoratus,3,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Camponotus femoratus,4,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Camponotus femoratus,5,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster stollii,Nesting habits,,"Carton nests in cavities; galleries on tree trunks and branches; continue underground, interconnecting trees",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca instabilis,Nesting habits,,"Hemispherical carton nests against tree trunks or base of main branches, polydomous",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca instabilis,1,,negative,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca instabilis,2,,negative,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca instabilis,3,,not significant,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca instabilis,4,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca instabilis,5,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma tuberculatum,Nesting habits,,"Ground-nesting at the base of trees, polydomous; galleries underground interconnecting trees",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma tuberculatum,1,,negative,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma tuberculatum,2,,negative,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma tuberculatum,3,,positive,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma tuberculatum,4,,not significant,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Ectatomma tuberculatum,5,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca jelskii,Nesting habits,,"Carton nests in cavities, polydomous",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca jelskii,1,,negative,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca jelskii,2,,negative,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca jelskii,3,,not significant,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca jelskii,4,,not significant,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca jelskii,5,,not significant,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Dolichoderus bidens,Nesting habits,,"Numerous small carton nests under the leaves, polydomous",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Dolichoderus bispinosus,Nesting habits,,"Nests in cavities, polydomous",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Daceton armigerum,Nesting habits,,"Cavities in old branches of trees, polydomous",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca ovaticeps,Nesting habits,,Nests in hollow trunks and branches of Cecropia spp. trees,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Odontomachus hastatus,Nesting habits,,Nests in trash baskets formed by palm trees or Philodendron,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Paraponera clavata,Nesting habits,,Ground-nesting at the base of trees,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca chartifex,Nesting habits,,"Large, triangular carton nests, polydomous",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Cephalotes atratus,Nesting habits,,"Large cavities in old branches of trees, polydomous",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Azteca brevis,Nesting habits,,"Carton nests in cavities; galleries on tree trunks and branches; continue underground, interconnecting trees",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Camponotus rapax,Nesting habits,,Small colonies nesting in cavities in old branches of trees,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster stolli,1,,negative,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster stolli,2,,negative,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster stolli,3,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster stolli,4,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Crematogaster stolli,5,,,,mode,,both,adult,,,,,,,,,,,
