basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Amphistomus complanatus,Abundance,,333,count,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amphistomus complanatus,Body mass,,9.60,g,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus complanatus,Behavioural guild,"Classification based on resource relocation behavior (tunnelers or rollers), determined through field observations.",Rollers,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus complanatus,Diel activity,,Nocturnal,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus complanatus,Diet preference,,Dung,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus complanatus,Diet breadth,,2,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus complanatus,Habitat preference,,Young restoration; mid-age restoration; old restoration; rainforest,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ3,Abundance,,235,count,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amphistomus NQ3,Body mass,,18.31,g,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ3,Behavioural guild,"Classification based on resource relocation behavior (tunnelers or rollers), determined through field observations.",Rollers,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ3,Diel activity,,Nocturnal,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ3,Diet preference,,Dung,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ3,Diet breadth,,2,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ3,Habitat preference,,Rainforest,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ4,Abundance,,18,count,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amphistomus NQ4,Body mass,,3.21,g,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ4,Behavioural guild,"Classification based on resource relocation behavior (tunnelers or rollers), determined through field observations.",Rollers,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ4,Diel activity,,NA,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ4,Diet preference,,Dung,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ4,Diet breadth,,2,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ4,Habitat preference,,Old restoration; rainforest,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ5,Abundance,,302,count,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amphistomus NQ5,Body mass,,1.55,g,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ5,Behavioural guild,"Classification based on resource relocation behavior (tunnelers or rollers), determined through field observations.",Rollers,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ5,Diel activity,,Nocturnal,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ5,Diet preference,,Dung,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ5,Diet breadth,,2,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus NQ5,Habitat preference,,Old restoration; rainforest,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amphistomus pygmaeus,Abundance,,7,count,mean,,both,adult,,,,,,,,,,,
