basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Tapinoma sp. 1,Subfamily,,Dolichoderinae,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 1,Forage strategy,,Generalist forager,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 1,Habitat position,,litter-dweller,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 1,Eye Size,Trait data derived from existing literature and previous studies,Large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 1,Body length,,1.50,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 1,Femur length,,0.50,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 1,Colour value,"HSV (hue, saturation, and value) estimates extracted from photos using image editing software paint.NET (v.4.0.3)",7,0-100,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 2,Subfamily,,Dolichoderinae,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 2,Forage strategy,,Generalist forager,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 2,Habitat position,,litter-dweller,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 2,Eye Size,Trait data derived from existing literature and previous studies,Large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 2,Body length,,1.00,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 2,Femur length,,1.00,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 2,Colour value,"HSV (hue, saturation, and value) estimates extracted from photos using image editing software paint.NET (v.4.0.3)",31,0-100,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 3,Subfamily,,Dolichoderinae,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 3,Forage strategy,,Generalist forager,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 3,Habitat position,,litter-dweller,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 3,Eye Size,Trait data derived from existing literature and previous studies,Large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 3,Body length,,1.00,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 3,Femur length,,0.50,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 3,Colour value,"HSV (hue, saturation, and value) estimates extracted from photos using image editing software paint.NET (v.4.0.3)",36,0-100,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 4,Subfamily,,Dolichoderinae,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 4,Forage strategy,,Generalist forager,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 4,Habitat position,,litter-dweller,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sp. 4,Eye Size,Trait data derived from existing literature and previous studies,Large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 4,Body length,,1.00,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 4,Femur length,,1.00,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sp. 4,Colour value,"HSV (hue, saturation, and value) estimates extracted from photos using image editing software paint.NET (v.4.0.3)",24,0-100,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 1,Subfamily,,Dorylinae,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aenictus sp. 1,Forage strategy,,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aenictus sp. 1,Habitat position,,soil-dweller,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Aenictus sp. 1,Eye Size,Trait data derived from existing literature and previous studies,Absent,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 1,Body length,,0.50,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 1,Femur length,,0.25,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 1,Colour value,"HSV (hue, saturation, and value) estimates extracted from photos using image editing software paint.NET (v.4.0.3)",38,0-100,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 2,Subfamily,,Dorylinae,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aenictus sp. 2,Forage strategy,,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aenictus sp. 2,Habitat position,,soil-dweller,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Aenictus sp. 2,Eye Size,Trait data derived from existing literature and previous studies,Absent,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 2,Body length,,1.00,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 2,Femur length,,0.50,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 2,Colour value,"HSV (hue, saturation, and value) estimates extracted from photos using image editing software paint.NET (v.4.0.3)",65,0-100,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 3,Subfamily,,Dorylinae,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aenictus sp. 3,Forage strategy,,Predator,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aenictus sp. 3,Habitat position,,soil-dweller,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Aenictus sp. 3,Eye Size,Trait data derived from existing literature and previous studies,Absent,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 3,Body length,,1.50,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 3,Femur length,,1.00,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aenictus sp. 3,Colour value,"HSV (hue, saturation, and value) estimates extracted from photos using image editing software paint.NET (v.4.0.3)",58,0-100,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anoplolepis sp. 1,Subfamily,,Formicinae,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anoplolepis sp. 1,Forage strategy,,Generalist forager,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anoplolepis sp. 1,Habitat position,,litter-dweller,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Anoplolepis sp. 1,Eye Size,Trait data derived from existing literature and previous studies,Large,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anoplolepis sp. 1,Body length,,0.50,mm,mean,,both,adult,,,,,,,,,,,
