cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Entomobryidae sp.45,Habitat position,Vegetation-dweller,,Entomobryomorpha Isotomidae sp.4,0.71,severe,species not extracted at all
species not in prediction,Dicyrtomidae sp.6,Eye size,Large,,Symphypleona Dicyrtomidae sp.6,0.72,severe,species not extracted at all
species not in prediction,Bothroponera sp. 5,Colour value,21,,Bothroponerasp. 5,0.97,severe,species not extracted at all
species not in prediction,Entomobryidae sp.35,Habitat position,Vegetation-dweller,,Entomobryomorpha Isotomidae sp.3,0.71,severe,species not extracted at all
species not in prediction,Discothyrea sp. 1,Colour value,59,,Discothyreasp. 1,0.97,severe,species not extracted at all
species not in prediction,Neanuridae sp.1,Feeding strategy,Sucking mandibles,,Poduromorpha Neanuridae sp.1,0.70,severe,species not extracted at all
species not in prediction,Entomobryidae sp.4,Eye size,Large,,Entomobryomorpha Isotomidae sp.4,0.72,severe,species not extracted at all
species not in prediction,Neanuridae sp.4,Habitat position,Litter-dweller,,Poduromorpha Neanuridae sp.4,0.70,severe,species not extracted at all
species not in prediction,Entomobryidae sp.46,Furca development,Long,,Entomobryomorpha Isotomidae sp.4,0.71,severe,species not extracted at all
species not in prediction,Meranoplus sp. 1,Habitat position,Soil-dweller,,Meranoplussp. 1,0.97,severe,species not extracted at all
species not in prediction,Entomobryidae sp.49,Feeding strategy,Chewing mandibles,,Entomobryomorpha Isotomidae sp.4,0.71,severe,species not extracted at all
species not in prediction,Neanuridae sp.2,Feeding strategy,Sucking mandibles,,Poduromorpha Neanuridae sp.2,0.70,severe,species not extracted at all
species not in prediction,Neanuridae sp.1,Habitat position,Litter-dweller,,Poduromorpha Neanuridae sp.1,0.70,severe,species not extracted at all
species not in prediction,Polyrhachis sp. 2,Eye size,Large,,Polyrhachissp. 2,0.97,severe,species not extracted at all
species not in prediction,Crematogaster sp. 11,Eye size,Moderate,,Crematogastersp. 11,0.97,severe,species not extracted at all
species not in prediction,Sminthuridae sp.3,Feeding strategy,Chewing mandibles,,Symphypleona Sminthuridae sp.3,0.72,severe,species not extracted at all
species not in prediction,Entomobryidae sp.16,Eye size,Large,,Entomobryomorpha Isotomidae sp.1,0.71,severe,species not extracted at all
species not in prediction,Hypogastruridae sp.5,Body length,1.00,,Poduromorpha Hypogastruridae sp.5,0.75,severe,species not extracted at all
species not in prediction,Neanuridae sp.5,Furca development,Short,,Poduromorpha Neanuridae sp.5,0.70,severe,species not extracted at all
