basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Dingy Skipper Erynnis tages,Cluster,"Species accumulation curves, similarity due to species replacement (beta-diversity), and functional trait analysis",sedentary host plant specialists,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Dingy Skipper Erynnis tages,Migratory,"Extraction of species traits from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",Non-migratory,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Dingy Skipper Erynnis tages,Bodysize,Extraction of species-specific ecological traits from existing literature,13.5,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Dingy Skipper Erynnis tages,Hostplant specialization,"Extraction from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",oligophagous,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Dingy Skipper Erynnis tages,Hostplant distribution,Extraction of ecological traits from literature and local knowledge,widespread,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Dingy Skipper Erynnis tages,Habitat specialization,Extraction of species-specific trait values from existing literature,intermediate,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Dingy Skipper Erynnis tages,Habitat openness,,open,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Dingy Skipper Erynnis tages,Overwintering strategy,"Extraction from literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",larva,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Dingy Skipper Erynnis tages,Voltinity,"Extracted from literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",1,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Grizzled Skipper Pyrgus malvae,Cluster,"Species accumulation curves, similarity due to species replacement (beta-diversity), and functional trait analysis",sedentary host plant specialists,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Grizzled Skipper Pyrgus malvae,Migratory,"Extraction of species traits from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",Non-migratory,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Grizzled Skipper Pyrgus malvae,Bodysize,Extraction of species-specific ecological traits from existing literature,11.5,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Grizzled Skipper Pyrgus malvae,Hostplant specialization,"Extraction from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",polyphagous,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Grizzled Skipper Pyrgus malvae,Hostplant distribution,Extraction of ecological traits from literature and local knowledge,widespread,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Grizzled Skipper Pyrgus malvae,Habitat specialization,Extraction of species-specific trait values from existing literature,intermediate,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Grizzled Skipper Pyrgus malvae,Habitat openness,,semi-open,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Grizzled Skipper Pyrgus malvae,Overwintering strategy,"Extraction from literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",pupa,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Grizzled Skipper Pyrgus malvae,Voltinity,"Extracted from literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",1,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Oberthür's Grizzled Skipper Pyrgus armoricanus,Cluster,"Species accumulation curves, similarity due to species replacement (beta-diversity), and functional trait analysis",sedentary host plant specialists,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Oberthür's Grizzled Skipper Pyrgus armoricanus,Migratory,"Extraction of species traits from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",Non-migratory,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Oberthür's Grizzled Skipper Pyrgus armoricanus,Bodysize,Extraction of species-specific ecological traits from existing literature,12,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Oberthür's Grizzled Skipper Pyrgus armoricanus,Hostplant specialization,"Extraction from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",polyphagous,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Oberthür's Grizzled Skipper Pyrgus armoricanus,Hostplant distribution,Extraction of ecological traits from literature and local knowledge,local,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Oberthür's Grizzled Skipper Pyrgus armoricanus,Habitat specialization,Extraction of species-specific trait values from existing literature,intermediate,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Oberthür's Grizzled Skipper Pyrgus armoricanus,Habitat openness,,open,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Oberthür's Grizzled Skipper Pyrgus armoricanus,Overwintering strategy,"Extraction from literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",larva,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Oberthür's Grizzled Skipper Pyrgus armoricanus,Voltinity,"Extracted from literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",2,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Chequered Skipper Heteropterus morpheus,Cluster,"Species accumulation curves, similarity due to species replacement (beta-diversity), and functional trait analysis",sedentary host plant specialists,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Chequered Skipper Heteropterus morpheus,Migratory,"Extraction of species traits from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",Non-migratory,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Large Chequered Skipper Heteropterus morpheus,Bodysize,Extraction of species-specific ecological traits from existing literature,15.25,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Chequered Skipper Heteropterus morpheus,Hostplant specialization,"Extraction from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",polyphagous,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Chequered Skipper Heteropterus morpheus,Hostplant distribution,Extraction of ecological traits from literature and local knowledge,widespread,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Chequered Skipper Heteropterus morpheus,Habitat specialization,Extraction of species-specific trait values from existing literature,intermediate,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Chequered Skipper Heteropterus morpheus,Habitat openness,,semi-open,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Chequered Skipper Heteropterus morpheus,Overwintering strategy,"Extraction from literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",larva,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Chequered Skipper Heteropterus morpheus,Voltinity,"Extracted from literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",1,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Skipper Ochlodes sylvanus,Cluster,"Species accumulation curves, similarity due to species replacement (beta-diversity), and functional trait analysis",sedentary host plant specialists,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Skipper Ochlodes sylvanus,Migratory,"Extraction of species traits from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",Non-migratory,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Large Skipper Ochlodes sylvanus,Bodysize,Extraction of species-specific ecological traits from existing literature,15.1,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Skipper Ochlodes sylvanus,Hostplant specialization,"Extraction from existing literature (Stoltze, 1996; García-Barros, 2000; Frederiksen et al., 2006)",polyphagous,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Large Skipper Ochlodes sylvanus,Hostplant distribution,Extraction of ecological traits from literature and local knowledge,widespread,mm,single observation,,both,adult,,,,,,,,,,,
