cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Argynnis paphia,Forewing Length,33.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leptidea sinapis,Forewing Length,20.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nymphalis antiopa,Forewing Length,33.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Papilio machaon,Forewing Length,40.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Melitaea diamina,Forewing Length,18.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Boloria selene,Forewing Length,20.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aricia artaxerxes,Forewing Length,12.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polyommatus amandus,Forewing Length,15.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Vanessa cardui,Forewing Length,29.4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plebeius argus,Forewing Length,14.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thecla betulae,Forewing Length,19.3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Inachis io,Forewing Length,28.6,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasiommata megera,Forewing Length,22.4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aricia agestis,Forewing Length,13.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Satyrium ilicis,Forewing Length,16.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaena tityrus,Forewing Length,14.3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gonepteryx rhamni,Forewing Length,28.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thymelicus lineola,Forewing Length,13.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aporia crataegi,Forewing Length,32.3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brenthis ino,Forewing Length,20.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Celastrina argiolus,Forewing Length,14.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apatura iris,Forewing Length,37.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Maculinea arion,Forewing Length,19.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrgus malvae,Forewing Length,11.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Araschnia levana,Forewing Length,18.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nymphalis polychloros,Forewing Length,30.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apatura ilia,Forewing Length,34.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Coenonympha hero,Forewing Length,16.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pontia daplidice,Forewing Length,22.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Vanessa atalanta,Forewing Length,30.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Coenonympha arcania,Forewing Length,18.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anthocharis cardamines,Forewing Length,21.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Melitaea cinxia,Forewing Length,19.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aglais urticae,Forewing Length,23.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaena virgaureae,Forewing Length,16.4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaena hippothoe,Forewing Length,17.3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphydryas aurinia,Forewing Length,21.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Satyrium w-album,Forewing Length,15.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Satyrium pruni,Forewing Length,16.4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polyommatus icarus,Forewing Length,15.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thymelicus sylvestris,Forewing Length,13.6,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Maniola jurtina,Forewing Length,25.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis populi,Forewing Length,40.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Maculinea alcon,Forewing Length,17.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Carterocephalus silvicola,Forewing Length,12.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hipparchia semele,Forewing Length,26.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaena dispar,Forewing Length,19.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaena phlaeas,Forewing Length,14.6,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis camilla,Forewing Length,28.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Coenonympha pamphilus,Forewing Length,16.6,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Parnassius mnemosyne,Forewing Length,30.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leptidea juvernica,Forewing Length,20.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Argynnis niobe,Forewing Length,28.0,,,,moderate,the trait was not extracted for this species
