basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Amanahyphes,Size of the mesonotum,,10.927,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Amanahyphes,Length head size,LEICA stereomicroscope connected to a computer using Leica Application Software (LAS) to convert images into photographs,10.639,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Amanahyphes,Width head size,,12.916,mm,single observation,,both,nymph,,,,,,,,,,,
HumanObservation,Amanahyphes,Presence of opercular gill,Classification based on taxonomic literature,opercular gill,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Amanahyphes,Feeding group,,Collector,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Americabaetis,Size of the mesonotum,,17.641,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Americabaetis,Length head size,LEICA stereomicroscope connected to a computer using Leica Application Software (LAS) to convert images into photographs,16.960,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Americabaetis,Width head size,,13.551,mm,single observation,,both,nymph,,,,,,,,,,,
HumanObservation,Americabaetis,Presence of opercular gill,Classification based on taxonomic literature,non-opercular gill size,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Americabaetis,Feeding group,,Collector,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Askola,Size of the mesonotum,,15.268,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Askola,Length head size,LEICA stereomicroscope connected to a computer using Leica Application Software (LAS) to convert images into photographs,17.863,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Askola,Width head size,,17.789,mm,single observation,,both,nymph,,,,,,,,,,,
HumanObservation,Askola,Presence of opercular gill,Classification based on taxonomic literature,non-opercular gill size,mm,single observation,,both,nymph,,,,,,,,,,,
PreservedSpecimen,Askola,Feeding group,,Scraper,mm,single observation,,both,nymph,,,,,,,,,,,
