basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Acrodipsas aurata Crematogaster sp.,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,Acrodipsas aurata Crematogaster sp.,number associated ant genera,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,Acrodipsas brisbanensis Papyrius nr. nitidus,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,Acrodipsas brisbanensis Papyrius nr. nitidus,number associated ant genera,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,"Acrodipsas cuprea Crematogaster sp., nr. laeviceps",obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,"Acrodipsas cuprea Crematogaster sp., nr. laeviceps",number associated ant genera,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,Acrodipsas illidgei Crematogaster nr. laeviceps,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,Acrodipsas illidgei Crematogaster nr. laeviceps,number associated ant genera,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,Acrodipsas myrmecophila Papyrius nr. nitidus,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,Acrodipsas myrmecophila Papyrius nr. nitidus,number associated ant genera,,1,count,single observation,,both,larva,,,,,,1,,,,,
HumanObservation,"Acytolepis puspa Tetramorium Rhoptromyrmex wroughtonii, Crematogaster sp., Dolichoderus Polyrhachis dives, Anoplolepis gracilipes, Camponotus sp.",obligate myrmecophile,,0,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,"Acytolepis puspa Tetramorium Rhoptromyrmex wroughtonii, Crematogaster sp., Dolichoderus Polyrhachis dives, Anoplolepis gracilipes, Camponotus sp.",number associated ant genera,,6,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Agriades pheretiades Formica subpilosa,obligate myrmecophile,,0,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Agriades pheretiades Formica subpilosa,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Ahmetia achaja Crematogaster sp.,obligate myrmecophile,,0,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Ahmetia achaja Crematogaster sp.,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,"Allosmaitia strophius Camponotus blandus, Ectatomma tuberculatum, Crematogaster sp.",obligate myrmecophile,,0,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,"Allosmaitia strophius Camponotus blandus, Ectatomma tuberculatum, Crematogaster sp.",number associated ant genera,,3,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides apicalis Monomorium fridae,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides apicalis Monomorium fridae,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides aranda Pheidole capensis,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides aranda Pheidole capensis,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides bamptoni Lepisiota capensis,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides bamptoni Lepisiota capensis,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides barklyi Lepisiota capensis,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides barklyi Lepisiota capensis,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides clarki Monomorium sp.,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides clarki Monomorium sp.,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides dentatis Lepisiota capensis,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides dentatis Lepisiota capensis,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides depicta Lepisiota capensis,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides depicta Lepisiota capensis,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides margaretae Monomorium fridae,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides margaretae Monomorium fridae,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides nollothi Lepisiota capensis,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides nollothi Lepisiota capensis,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides pallida Lepisiota capensis,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides pallida Lepisiota capensis,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides pierus Lepisiota capensis,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides pierus Lepisiota capensis,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides pringlei Lepisiota capensis,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides pringlei Lepisiota capensis,number associated ant genera,,1,count,single observation,,both,larva,,,,,,0,,,,,
HumanObservation,Aloeides rossouwi Lepisiota sp.,obligate myrmecophile,,1,count,single observation,,both,larva,,,,,,0,,,,,
