cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Anthene seltuttus,Associated ants,Oecophylla smaragdina,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chrysoritis thysbe,Associated ants,"Crematogaster peringueyi,  Crematogaster capensis",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Hypochrysops theon,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Aloeides rossouwi,Associated ants,Lepisiota sp.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Jamides malaccanus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Arhopala aexone,Associated ants,Oecophylla smaragdina,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Chilades parrhasius,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Aloeides bamptoni,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Psychonotis caelius,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Thecla betulae,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Chrysoritis midas,Associated ants,Crematogaster peringueyi,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Arhopala major,Associated ants,"Camponotus sp., Dolichoderus nr. thoracicus, Crematogaster sp., Technomyrmex sp.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hypolycaena nigra,Associated ants,Pheidole aurivillii,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lepidochrysops ignota,Associated ants,Camponotus niveosetosus,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Axiocerses amanga,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cigaritis cilissa,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Glaucopsyche paphos,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cigaritis syama,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Triclema lamias,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ogyris subterrestris,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Leptotes plinius,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chrysoritis aethon,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anthene pitmani,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Jalmenus pseudictinus,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Iraota rochana,Associated ants,Crematogaster sp.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chrysoritis brooksi,Associated ants,"Crematogaster peringueyi, Crematogaster sp.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Theclinesthes serpentata,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Curetis thetis,Associated ants,Camponotus sp.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tajuria cippus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Flos fulgida,Associated ants,Dolichoderus sp.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Callophrys (Incisalia) irus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Remelana jangala,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anthene flavomaculatus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Artopoetes pryeri,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Glaucopsyche lycormas,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lycaena xanthoides,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Freyeria putli,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chloroselas pseudozeritis,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ogyris otanes,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Laeosopis roboris,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chrysoritis natalensis,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Jamides bochus,Associated ants,"Technomyrmex albipes, Paratrechina nr. longicornis",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cigaritis seliga,Associated ants,Crematogaster (Acrocoelia) nr. dohrni,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Allosmaitia strophius,Associated ants,"Camponotus blandus, Ectatomma tuberculatum, Crematogaster sp.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Acrodipsas brisbanensis,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
species not in prediction,Pseudaletis sp. indet.,Obligate myrmecophile,Yes,,Pseudaletis sp. indet. Crematogaster,0.74,severe,species not extracted at all
"species present, trait missing",Tarucus nara,Associated ants,"Camponotus compressus, Crematogaster sp., Pheidole latinoda, Monomorium sp.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Celastrina argiolus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Chrysoritis dicksoni,Associated ants,Crematogaster peringueyi,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plebejus idas,Associated ants,"Formica cinerea, F. selysi, F. exsecta, F. lemani, F. pressilabris, F. lugubris, F. rufibarbis, F. cunicularia, F. pratensis, Formica lefrancoisi (as ""fuscocinerea""), F. fusca, Lasius niger, Lasius alienus",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrina silenus,Associated ants,"Camponotus maculatus, C. acvapimensis",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphnaeus orcas,Associated ants,Crematogaster sp.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Jamides elpis,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chrysoritis beaufortius,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Polyommatus (Meleageria) daphnis,Associated ants,"Tapinoma erraticum, Formica pratensis, Lasius alienus, Plagiolepis sp., Crematogaster sordidula",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphilotes ancilla,Associated ants,"Crematogaster mormonum, Monomorium minimum, Forelius pruinosus, Camponotus hyatti, Formica laeviceps",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Lysandra albicans,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Paralucia pyrodiscus,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Rapala suffusa,Associated ants,Philidris sp.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Aloeides dentatis,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Hypolycaena othona,Associated ants,"Crematogaster spp., Anoplolepis gracilipes, Camponotus sp., Polyrhachis sp.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chrysoritis blencathrae,Associated ants,Crematogaster liengmei,,,,moderate,the trait was not extracted for this species
species not in prediction,Pseudolucia charlotte,Obligate myrmecophile,No,,Pseudolucia chilensis,0.76,severe,species not extracted at all
"species present, trait missing",Jalmenus notocrucifer,Associated ants,Iridomyrmex nr. rufoniger,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Jalmenus clementi,Associated ants,Iridomyrmex sp.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rapala dieneces,Associated ants,Philidris sp.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Jalmenus daemeli,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Plautella cossaea,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Deudorix isocrates,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Euphilotes bernardino,Associated ants,"Linepithema humile, Dorymyrmex sp., Forelius pruinosus, Camponotus spp.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Aloeides depicta,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chrysoritis aureus,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chrysoritis pan,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Chrysoritis chrysaor,Associated ants,Crematogaster liengmei,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Candalides gilberti,Associated ants,Crematogaster sp.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pithecops fulgens,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lycaena rubidus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hypochrysops miskini,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Nacaduba berenice,Associated ants,"Crematogaster sp., Pheidole megacephala, Prolasius sp., Anoplolepis gracilipes, Oecophylla smaragdina, Camponotus sp. (nr. gasseri), Polyrhachis rufifemur, Polyrhachis vermiculosa, Polyrhachis (Cyrtomyrma) australis, Polyrhachis (Chariomyrma) aurea, Paratrechina sp., Technomyrmex nr. albipes, Tapinoma sp.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hypochrysops halyaetus,Associated ants,"Crematogaster sp., Crematogaster perthensis",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Hypochrysops narcissus,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Tarucus callinara,Associated ants,Crematogaster sp.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chrysoritis daphne,Associated ants,Crematogaster liengmei,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phengaris rebeli,Associated ants,"Myrmica schencki, M. sabuleti, M. scabrinodis, M. sulcinodis, M. ruginodis, Myrmica lonae, Myrmica salina, Myrmica specioides",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Erysichton lineata,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Crudaria wykehami,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Zesius chrysomallus,Associated ants,Oecophylla smaragdina,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Luthrodes pandava,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Ogyris zosine,Associated ants,"Camponotus claripes, C. nr. subnitidus, Camponotus novaehollandiae, Camponotus maculatus, Camponotus nigriceps, Camponotus nr. extensus, Camponotus nr. rufus",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acytolepis puspa,Associated ants,"Tetramorium [Rhoptromyrmex] wroughtonii, Crematogaster sp., Dolichoderus sp., Polyrhachis dives, Anoplolepis gracilipes, Camponotus sp.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Zintha hintza,Associated ants,"Crematogaster jeanneli, Technomyrmex detorquens",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Hypolycaena sipylus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Pseudolucia hazeorum,Associated ants,Dorymyrmex tener,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Triclema lucretilis,Associated ants,Crematogaster buchneri,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anthene otacilia,Associated ants,Crematogaster sp.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cigaritis tavetensis,Associated ants,Pheidole sp.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Acrodipsas illidgei,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Freyeria trochylus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Phengaris atroguttata,Associated ants,"Myrmica kurokii tipuna, Myrmica formosae, Myrmica rugosa",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cigaritis elima,Associated ants,Crematogaster sp.,,,,moderate,the trait was not extracted for this species
species not in prediction,Arhopala bazalus,Obligate myrmecophile,No,,Arhopala rama,0.76,severe,species not extracted at all
"species present, trait missing",Satyrium w-album,Associated ants,"Formica sp., Lasius nr. fuliginosus, Lasius emarginatus, Crematogaster scutellaris",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Strymon melinus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Crudaria leroma,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Aloeides bamptoni,Associated ants,Lepisiota capensis,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phengaris arion,Associated ants,"Myrmica sabuleti, Myrmica scabrinodis, Myrmica lonae",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Semanga superba,Associated ants,Dolichoderus nr. thoracicus,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs","Polyommatus golgus  (including ""sagratrox"")",Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Erikssonia edgei,Associated ants,Lepisiota sp.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudophilotes abencerragus,Associated ants,"Camponotus foreli, Crematogaster auberti, Plagiolepis pygmaea, Plagiolepis schmitzii",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polyommatus (Agrodiaetus) ripartii (incl. ssp. pelopi),Associated ants,"Crematogaster sordidula, Camponotus gestroi, Camponotus aethiops, Camponotus piceus, Camponotus oertzeni, Camponotus laconicus, Lasius niger, Lasius alienus, Lasius paralienus, Plagiolepis pygmaea, Plagiolepis vindobonensis, Lepisiota melas, Tapinoma simrothi, Tapinoma nigerrimum",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Anthene lachares,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Pseudolucia benyamini,Associated ants,Linepithema sp.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brephidium isophthalma,Associated ants,Tapinoma sessile,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Triclema lamias,Associated ants,Crematogaster sp.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Chrysoritis azurius,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Iolaus alcibiades,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Flos diardi,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Hypochrysops delicia,Associated ants,"Crematogaster sp., Crematogaster fusca",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Theclinesthes serpentata,Associated ants,"Iridomyrmex spp., Notoncus sp., Camponotus nr. ceriseipes, Myrmecia nr. nigrocincta, Monomorium rubriceps",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ogyris oroetes,Associated ants,"Crematogaster nr. longiceps, Meranoplus nr. diversus, Tetramorium simillimum, Pheidole megacephala, Anonychomyrma nitidiceps, Ochetellus glaber, Podomyrma sp., Iridomyrmex nr. rufoniger, Froggattella kirbii, Technomyrmex nr. albipes, Camponotus eastwoodi, Rhytidoponera sp., Tetraponera sp.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Ahmetia achaja,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Lampides boeticus,Associated ants,"Camponotus compressus, C. cruentatus, C. sylvaticus, C. foreli, Camponotus nr. subnitidus, Camponotus nr. tricoloratus, Camponotus lateralis, Nylanderia clandestina, Lasius grandis, Iberoformica subrufa, Lepisiota capensis, Anoplolepis gracilipes, Plagiolepis schmitzii, Plagiolepis pygmaea, Tapinoma melanocephalum, T. nigerrimum, Linepithema humile, Iridomyrmex purpureus, Iridomyrmex nr. suchieri, Froggattella sp., Dolichoderus scrobiculatus, Crematogaster scutellaris, Crematogaster auberti, Crematogaster sordidula, Tetramorium forte, Aphaenogaster gibbosa",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Aloeides aranda,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Glaucopsyche lycormas,Associated ants,"Formica japonica, Lasius niger",,,,moderate,the trait was not extracted for this species
"species present, trait missing","Polyommatus icarus (including ""abdon"")",Associated ants,"Myrmica sabuleti, Myrmica lobicornis, Myrmica tenuispina, Lasius alienus, Lasius niger, Lasius flavus, Lasius neoniger, Iberoformica subrufa, Formica subpilosa, Formica rufibarbis, Formica cinerea, Plagiolepis pygmaea, Tapinoma nigerrimum",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Anthene nr. sylvanus,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pseudophilotes panoptes,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Rapala manea,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Chloroselas pseudozeritis,Associated ants,Crematogaster gerstaeckeri,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Chrysoritis swanepoeli,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chrysoritis penningtoni,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Deudorix dinochares,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Jalmenus lithochroa,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cupido argiades,Obligate myrmecophile,No,0,,,moderate,predicted a different value for this trait
"species present, trait missing",Hypochrysops digglesii,Associated ants,"Crematogaster sp., Crematogaster nr. laeviceps, Crematogaster nr. australis",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Flos anniella,Associated ants,Dolichoderus nr. thoracicus,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Jalmenus icilius,Obligate myrmecophile,Yes,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Chrysoritis chrysantas,Associated ants,Crematogaster melanogaster,,,,moderate,the trait was not extracted for this species
