basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,$1.95 \pm 0.15$ $ $2.34 0.18$ $2.04 0.20$ $2.19 0.13$ $4.54 1.04$ $2.77 0.24$ $3.07 0.11$,Species Parameters,,Length of the head,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$3.08 \pm 0.12$ $ $3.67 0.07$ $2.99 0.10$ $3.61 0.20$ $3.15 0.13$ $3.05 0.15$ $3.73 0.23$,Species Parameters,,Width of the head,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$9.57 \pm 0.73$ $ $10.34 0.62$ $9.64 0.66$ $10.22 0.69$ $11.62 0.50$ $9.73 0.37$ $10.36 0.65$,Species Parameters,,Length of antenna,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$0.47 \pm 0.19$ $ $0.60 0.16$ $0.64 0.08$ $0.37 0.12$ $0.55 $0.68 0.03$,Species Parameters,,Interocular distance,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$4.32 \pm 0.25$ $ $5.02 0.13$ $5.06 0.32$ $4.27 0.07$ $4.01 0.26$ $4.94 0.35$,Species Parameters,,Length of the pronotum in the midline,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$3.54 \pm 0.38$ $ $4.38 0.24$ $4.17 0.26$ $3.56 $3.37 0.28$ $4.39,Species Parameters,,Pronotum width,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$3.58 \pm 0.19$ $ $4.43 0.47$ $3.73 0.41$ $4.31 0.63$ $4.17 0.33$ $3.80 0.29$ $4.26 0.56$,Species Parameters,,Length of the tegmina,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$10.45 \pm 0.15$ $ $12.42 0.71$ $12.11 0.55$ $11.59 0.19$ $10.27 0.43$ $12.49 0.57$,Species Parameters,,Hind tibia length,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$12.07 \pm 0.25$ $ $14.39 0.48$ $12.17 0.54$ $14.03 0.82$ $13.52 0.04$ $11.91 0.35$ $14.32 0.56$,Species Parameters,,Maximum length of the hind femur,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$1.61 \pm 0.21$ $ $1.91 0.11$ $1.64 0.22$ $1.75 $3.10 0.15$ $3.67 0.23$,Species Parameters,,"Width of the hind femur, measured as the distance between the two parallel lines running through the dorsal and ventral extremities of the femur, drawn parallel to the long axis of the femur",,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$19.92 \pm 1.26$ $ $25.35 2.20$ $24.52 2.41$ $21.24 0.58$ $18.15 1.71$ $23.08 1.69$,Species Parameters,,"Body length, measured from the tip of the front to the hindmost tip of the abdomen",,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Pteropera matzkei sp. nov. missoupi uniformis Bruner, 1920 verrucigena Karsch, 1891",Species Parameters,,Species,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Male Female,Species Parameters,,Parameters,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$4.54 \pm 1.04$ $ $5.33 1.85$ $2.41 0.53$ $2.87 0.56$ $2.16 0.00$ $2.04 0.24$ $2.24,Species Parameters,,Length of the head,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$3.15 \pm 0.13$ $ $3.46 0.71$ $3.29 0.26$ $3.64 0.69$ $3.10 0.00$ $3.43 0.21$ $4.48,Species Parameters,,Width of the head,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$11.62 \pm 0.50$ $ $12.75 0.54$ $10.07 0.57$ $10.71 0.33$ $10.99 0.00$,Species Parameters,,Length of antenna,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$0.37 \pm 0.12$ $ $0.69 0.68$ $0.55 0.08$ $0.77 0.19$ $0.44 0.00$ $0.66 0.30$ $0.79,Species Parameters,,Interocular distance,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$4.27 \pm 0.07$ $ $5.47 0.11$ $4.50 0.26$ $5.35 0.16$ $4.58 0.00$ $4.46 0.45$ $5.58,Species Parameters,,Length of the pronotum in the midline,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,$3.56 \pm 0.26$ $ $4.74 0.01$ $3.81 0.40$ $4.52 0.56$ $3.62 0.00$ $3.74 0.32$ $4.89,Species Parameters,,Pronotum width,,mode,,both,adult,,,,,,,,,,,
