cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Pteropera uniformis,Inner and outer areas of posterior female hind femora,"Inner and outer areas of posterior female hind femora pale, greenish yellow, with small pregenicular black ring",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera augustini,recurrent distal trunk of the lateral diverticulum,4–5× longer than the proximal trunk,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera missoupi,the base of the copulatory bursa,least as far from the basivalvar sclerites arc as the distance between them,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera carnapi,male pallium and supra-anal plate,raised ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera verrucigena,spermatheca ampulla,relatively thin,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera kennei,pallium and supra-anal plate of male,slightly raised,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera missoupi,total length of body,24.41–28.70,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera missoupi,total length of body,18.97–22.91,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera augustini,median spot,rounded,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera kennei,mesosternal interspace,"open, ~ 1.3× longer than wide",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera matzkei,lateral lobes of pronotum narrowed,"basal yellow bands of lateral lobes of pronotum narrowed in front of the second transverse groove, but not interrupted",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera uniformis,pronotum disc,"median dark band on pronotum disc narrow, the two contiguous clear bands faintly marked",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera kennei,pronotum width,4.39 ± 0.28,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera kennei,pronotum width,3.37 ± 0.28,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera matzkei,interocular distance,0.69 ± 0.68,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera matzkei,interocular distance,0.37 ± 0.12,,,,moderate,the trait was not extracted for this species
"species present, trait missing",karschi zenkeri,width of hind femur,3.10 ± 0.21,,,,moderate,the trait was not extracted for this species
"species present, trait missing",karschi zenkeri,width of hind femur,3.10 ± 0.21,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera kennei,spermathecal ampulla,narrowed at the apex,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera karschi zenkeri,prosternal tubercle,"short conical and flattened at the base, forming an outline of a collar with the prothoracic presternite",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera uniformis,length of antenna,-,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera uniformis,length of antenna,10.99 ± 0.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera carnapi,interocular distance,0.60 ± 0.16,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera carnapi,interocular distance,0.47 ± 0.19,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera descampsi,hind tibiae,"green, sometimes very dark",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera matzkei,upper ectophallic sheath,not enlarged at its base and tightly molding the aedeagus valves,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera karschi zenkeri,color,generally greenish,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera missoupi,dorsal area of pronotum,pale brown,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera missoupi,hind tibia length,13.99 ± 0.46,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera missoupi,hind tibia length,11.29 ± 0.28,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera carnapi,head and pronotum color,with well contrasted pale and dark colors,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera matzkei,egg-guide,broad with acute apex,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera descampsi,maximum length of the hind femur,14.03 ± 0.82,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera descampsi,maximum length of the hind femur,12.17 ± 0.54,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera uniformis,length of tegmina,-,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera uniformis,length of tegmina,3.76 ± 0.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera carnapi,upper ectophallic sheath,very long in profile,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera matzkei,rami,slightly bent,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera karschi zenkeri,head,conical and oblique,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera matzkei,the male cerci,"long, conical, incurved and exceeding beyond the supra-anal plate",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pteropera kennei,dorsal basal lobes of hind femora,longer than ventral ones,,,,moderate,the trait was not extracted for this species
