basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Myrmica pleiorhytida,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,1.97,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Myrmica pleiorhytida,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.13,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Myrmica pleiorhytida,Relative scape length,,0.65,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Myrmica pleiorhytida,Relative mandible length,,0.40,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Myrmica pleiorhytida,Relative hindleg length,,1.38,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,0.84,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.17,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Relative scape length,,0.69,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Relative mandible length,,0.39,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Relative hindleg length,,1.19,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,0.60,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.19,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Relative scape length,,0.72,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Relative mandible length,,0.41,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax cf. striatus,Relative hindleg length,,1.21,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax wui,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,0.91,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax wui,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.19,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax wui,Relative scape length,,0.61,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax wui,Relative mandible length,,0.37,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax wui,Relative hindleg length,,1.18,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone amblyops,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,1.02,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone amblyops,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.03,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone amblyops,Relative scape length,,0.43,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone amblyops,Relative mandible length,,0.57,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone amblyops,Relative hindleg length,,0.98,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,1.48,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.04,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Relative scape length,,0.39,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Relative mandible length,,0.54,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Relative hindleg length,,0.96,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,1.10,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.04,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Relative scape length,,0.40,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Relative mandible length,,0.45,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone awa,Relative hindleg length,,0.87,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone octodentata,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,1.23,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone octodentata,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.03,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone octodentata,Relative scape length,,0.40,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone octodentata,Relative mandible length,,0.54,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone octodentata,Relative hindleg length,,0.90,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone triloba,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,1.48,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone triloba,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.03,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone triloba,Relative scape length,,0.46,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone triloba,Relative mandible length,,0.58,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone triloba,Relative hindleg length,,0.93,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Brachyponera luteipes B,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,1.54,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Brachyponera luteipes B,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.11,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Brachyponera luteipes B,Relative scape length,,0.68,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Brachyponera luteipes B,Relative mandible length,,0.38,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Brachyponera luteipes B,Relative hindleg length,,1.37,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus sp. A,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,1.65,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus sp. A,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.21,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus sp. A,Relative scape length,,0.70,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus sp. A,Relative mandible length,,0.33,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus sp. A,Relative hindleg length,,1.61,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus sp. B,Weber s length,Measurement using a microscope with a calibrated eyepiece micrometer,2.55,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus sp. B,Relative eye length,"Ratio of eye length (EL) to Weber's length (WL), measured using a microscope with a calibrated eyepiece micrometer.",0.21,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus sp. B,Relative scape length,,0.71,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Camponotus sp. B,Relative mandible length,,0.25,mm,mean,,both,adult,,,,,,,,,,,
