basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Agapostemon texanus,on conventional farms,,,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Agapostemon texanus,on organic farms,,9,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Agapostemon texanus,at natural sites,,1,count,sum,,female,adult,,,,,,,,,,,
PreservedSpecimen,Agapostemon texanus,Inter- tegular distance,Mean intertegular distance of five haphazardly selected female individuals,1.98,mm,mean,,female,adult,,,,,,,,,,,
HumanObservation,Agapostemon texanus,day of year of flight season,Calculated from a sample of 30 independent phenology records of bees observed visiting flowers.,189,day,median,,female,adult,,,,,,,,,,,
HumanObservation,Agapostemon texanus,Flight- season duration,Value calculated from a sample of 30 independent phenology records (as described in Appendix S3),133.4,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Agapostemon texanus,Nest location,,below,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Agapostemon texanus,Nesting behaviour,,excavate,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Agapostemon texanus,Sociality/ parasitic,"Trait assignment based on capture patterns (e.g., floral records) and biological knowledge of related species.",solitary,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Agapostemon texanus,Lecty,,poly,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena angustitarsata,on conventional farms,,2,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Andrena angustitarsata,on organic farms,,4,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Andrena angustitarsata,at natural sites,,,count,sum,,female,adult,,,,,,,,,,,
PreservedSpecimen,Andrena angustitarsata,Inter- tegular distance,Mean intertegular distance of five haphazardly selected female individuals,1.80,mm,mean,,female,adult,,,,,,,,,,,
HumanObservation,Andrena angustitarsata,day of year of flight season,Calculated from a sample of 30 independent phenology records of bees observed visiting flowers.,92,day,median,,female,adult,,,,,,,,,,,
HumanObservation,Andrena angustitarsata,Flight- season duration,Value calculated from a sample of 30 independent phenology records (as described in Appendix S3),51.8,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena angustitarsata,Nest location,,below,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena angustitarsata,Nesting behaviour,,excavate,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena angustitarsata,Sociality/ parasitic,"Trait assignment based on capture patterns (e.g., floral records) and biological knowledge of related species.",solitary,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena angustitarsata,Lecty,,poly,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena anisochlora,on conventional farms,,1,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Andrena anisochlora,on organic farms,,,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Andrena anisochlora,at natural sites,,1,count,sum,,female,adult,,,,,,,,,,,
PreservedSpecimen,Andrena anisochlora,Inter- tegular distance,Mean intertegular distance of five haphazardly selected female individuals,1.93,mm,mean,,female,adult,,,,,,,,,,,
HumanObservation,Andrena anisochlora,day of year of flight season,Calculated from a sample of 30 independent phenology records of bees observed visiting flowers.,72,day,median,,female,adult,,,,,,,,,,,
HumanObservation,Andrena anisochlora,Flight- season duration,Value calculated from a sample of 30 independent phenology records (as described in Appendix S3),NA,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena anisochlora,Nest location,,below,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena anisochlora,Nesting behaviour,,excavate,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena anisochlora,Sociality/ parasitic,"Trait assignment based on capture patterns (e.g., floral records) and biological knowledge of related species.",solitary,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena anisochlora,Lecty,,poly,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena atypica,on conventional farms,,,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Andrena atypica,on organic farms,,1,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Andrena atypica,at natural sites,,,count,sum,,female,adult,,,,,,,,,,,
PreservedSpecimen,Andrena atypica,Inter- tegular distance,Mean intertegular distance of five haphazardly selected female individuals,1.38,mm,mean,,female,adult,,,,,,,,,,,
HumanObservation,Andrena atypica,day of year of flight season,Calculated from a sample of 30 independent phenology records of bees observed visiting flowers.,98,day,median,,female,adult,,,,,,,,,,,
HumanObservation,Andrena atypica,Flight- season duration,Value calculated from a sample of 30 independent phenology records (as described in Appendix S3),NA,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena atypica,Nest location,,below,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena atypica,Nesting behaviour,,excavate,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena atypica,Sociality/ parasitic,"Trait assignment based on capture patterns (e.g., floral records) and biological knowledge of related species.",solitary,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena atypica,Lecty,,oligo,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena auricoma,on conventional farms,,,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Andrena auricoma,on organic farms,,1,count,sum,,female,adult,,,,,,,,,,,
HumanObservation,Andrena auricoma,at natural sites,,3,count,sum,,female,adult,,,,,,,,,,,
PreservedSpecimen,Andrena auricoma,Inter- tegular distance,Mean intertegular distance of five haphazardly selected female individuals,1.62,mm,mean,,female,adult,,,,,,,,,,,
HumanObservation,Andrena auricoma,day of year of flight season,Calculated from a sample of 30 independent phenology records of bees observed visiting flowers.,99,day,median,,female,adult,,,,,,,,,,,
HumanObservation,Andrena auricoma,Flight- season duration,Value calculated from a sample of 30 independent phenology records (as described in Appendix S3),45.3,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena auricoma,Nest location,,below,,mode,,female,adult,,,,,,,,,,,
HumanObservation,Andrena auricoma,Nesting behaviour,,excavate,,mode,,female,adult,,,,,,,,,,,
