cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Hoplitis albifrons,Flight season median date,133,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Halictus farinosus,Flight season median date,157,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hoplitis producta,Nesting location ,above,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Andrena hypoleuca,Flight season median date,113,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Lasioglossum (Evylaeus) sp. A,Lecty,Polylectic,poly,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena chalybioides,Lecty,Oligolectic,oligo,,,moderate,predicted a different value for this trait
"species present, trait missing",Hoplitis hypocrita,Flight season median date,130,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xylocopa tabaniformis,Flight season duration,99.0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Peponapis pruinosa,Flight season median date,184,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Andrena chalybioides,Nesting location ,below,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Andrena subchalybea,Lecty,Oligolectic,oligo,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Heriades occidentalis,Lecty,Polylectic,poly,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Diadasia bituberculata,Lecty,Oligolectic,oligo,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Megachile parallela,Lecty,Polylectic,poly,,,moderate,predicted a different value for this trait
"species present, trait missing",Halictus ligatus,Flight season median date,188,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile onobrychidis,Flight season median date,225,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile frugalis,Flight season median date,173,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Andrena piperi,Lecty,Polylectic,poly,,,moderate,predicted a different value for this trait
"species present, trait missing",Eucera (Synhalonia) stretchii,Flight season median date,118,,,,moderate,the trait was not extracted for this species
