cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Cerambyx cerdo,antennae,58.07 ± 0.71,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,antennae,36.46 ± 0.25,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,movement speed,9.6 ± 2.1,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,movement speed,8.6 ± 1.4,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,movement speed,9.33 ± 1.72,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,movement speed,7.27 ± 2.65,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,mass,1.53 ± 0.03,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,mass,1.27 ± 0.03,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,pronotum width,(8.54 ± 0.06,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,pronotum width,8.33 ± 0.09,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,farthest movement recorded,822,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,farthest movement recorded,601,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,body length,38.06 ± 0.24,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,body length,36.92 ± 0.28,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,total distance,163 ± 42.5,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,total distance,133 ± 40.1,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,total distance moved,153 ± 23.9,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,total distance moved,155 ± 38.8,,,0.00,severe,species not extracted at all
species not in prediction,Cerambyx cerdo,total distance moved,152 ± 30.8,,,0.00,severe,species not extracted at all
