basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Amithao lafertei,total length,Direct measurement of the total length of the beetle specimen.,24.5,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,pronotum length,Morphological measurement of the pronotum,7.7,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,pronotum width,Morphological measurement of the pronotum width,10.2,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,interocular distance,,3,mm,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,Eye diameter,Morphological measurement of eye diameter,2.1,mm,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,elytral length,Morphometric measurement,16.8,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,elytral width,Morphological measurement of the elytron,11.7,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,total thickness,Morphological measurement of total thickness (TT),6.8,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,elytral thickness,Direct measurement from preserved specimens in the entomological collection,3.2,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,LeBoRat,Ratio of leg length to body length,0.8,,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,maximum metacoxa length,Morphological measurement (morphometrics),3.6,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,biomass,Measurement of biomass on collected specimens,0.1,g,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,wing area,Morphological measurement of wing area,170.5,,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,wing width,Morphological measurement of the wing width (WW) of the beetle.,27.1,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,wing height,Morphological measurement of wing height (WH),10,mm,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amithao lafertei,wing loading,Calculation of wing loading (mass/wing area),2.7,,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amithao lafertei,trophic group,Classification based on known feeding habits and natural history,4,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,total length,Direct measurement of the total length of the beetle specimen.,14,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,pronotum length,Morphological measurement of the pronotum,3.8,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,pronotum width,Morphological measurement of the pronotum width,6.1,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,interocular distance,,2.3,mm,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,Eye diameter,Morphological measurement of eye diameter,1.6,mm,mean ± SD,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,elytral length,Morphometric measurement,10.2,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,elytral width,Morphological measurement of the elytron,3.9,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,total thickness,Morphological measurement of total thickness (TT),6,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,elytral thickness,Direct measurement from preserved specimens in the entomological collection,2.5,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aspidolea singularis,LeBoRat,Ratio of leg length to body length,0.8,,mean ± SD,,both,adult,,,,,,,,,,,
