cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Paranomala sp3,leg length to body length ratio,0.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Isonychus sp,leg length to body length ratio,1.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hoplopyga liturata,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phileurus dydimus,leg length to body length ratio,0.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Barybas sp,wing width,19.5,10.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Phyllophaga brevisetosa,leg length to body length ratio,1.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plectris sp,leg length to body length ratio,1,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Ceraspis quadripustulata,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phyllophaga logicornis,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Amithao lafertei,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Leucothyreus sp1,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ceraspis innotata,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cyclocephala fulgurata,trophic group,Meliphagous,2,,,moderate,predicted a different value for this trait
"species present, trait missing",Leucothyreus sp2,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Astaena sp,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Phyllophaga sp,leg length to body length ratio,0.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cyclocephala ovulum,trophic group,Meliphagous,2,,,moderate,predicted a different value for this trait
"species present, trait missing",Barybas sp,leg length to body length ratio,0.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Aspidolea singularis,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cyclocephala prelli,trophic group,Meliphagous,2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cyclocephala mafaffa,trophic group,Meliphagous,2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phyllophaga pruinipennis,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Stenocrates laevicollis,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pelidnota glaberrima,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Ceraspis quadripustulata,leg length to body length ratio,1.3,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Paranomala inconstans,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Phyllophaga logicornis,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leucothyreus sp1,leg length to body length ratio,0.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ceraspis innotata,leg length to body length ratio,1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyclocephala fulgurata,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tomarus fossor,trophic group,Stem-feeding,3,,,moderate,predicted a different value for this trait
"species present, trait missing",Astaena sp,leg length to body length ratio,1,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Golofa sp,trophic group,Stem-feeding,3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phyllophaga obsoleta,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cyclocephala lunulata,trophic group,Meliphagous,2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pholeurus valgus,trophic group,Predator,5,,,moderate,predicted a different value for this trait
"species present, trait missing",Cyclocephala ovulum,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Phyllophaga aguadita,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cyclocephala amazona,trophic group,Meliphagous,2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Barybas sp,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pelidnota polita,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Paranomala sp3,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Aspidolea singularis,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cyclocephala fulgurata,wing width,19.,19.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Isonychus sp,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hoplopyga liturata,trophic group,Frugivores,4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phileurus dydimus,trophic group,Predator,5,,,moderate,predicted a different value for this trait
"species present, trait missing",Cyclocephala prelli,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyclocephala mafaffa,leg length to body length ratio,0.7,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phyllophaga pruinipennis,leg length to body length ratio,1.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stenocrates laevicollis,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pelidnota glaberrima,leg length to body length ratio,0.6,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Phyllophaga brevisetosa,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Paranomala inconstans,leg length to body length ratio,0.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Plectris sp,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Tomarus fossor,leg length to body length ratio,0.7,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phyllophaga obsoleta,leg length to body length ratio,1.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Golofa sp,leg length to body length ratio,0.7,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Amithao lafertei,trophic group,Frugivores,4,,,moderate,predicted a different value for this trait
"species present, trait missing",Cyclocephala lunulata,leg length to body length ratio,0.7,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pholeurus valgus,leg length to body length ratio,1,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Leucothyreus sp2,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phyllophaga sp,trophic group,Phytophagous,1,,,moderate,predicted a different value for this trait
"species present, trait missing",Phyllophaga aguadita,leg length to body length ratio,1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cyclocephala amazona,leg length to body length ratio,0.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pelidnota polita,leg length to body length ratio,0.7,,,,moderate,the trait was not extracted for this species
