basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Andrena alfkenella,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena alfkenella,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena alfkenella,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena alfkenella,Active Flight Time,Derivation from literature (Table 1),4,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena alfkenella,Bodysize,,6.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena argentata,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena argentata,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena argentata,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena argentata,Active Flight Time,Derivation from literature (Table 1),4.5,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena argentata,Bodysize,,9,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena barbilabris,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena barbilabris,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena barbilabris,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena barbilabris,Active Flight Time,Derivation from literature (Table 1),4.3,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena barbilabris,Bodysize,,11.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena bimaculata,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena bimaculata,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena bimaculata,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena bimaculata,Active Flight Time,Derivation from literature (Table 1),4,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena bimaculata,Bodysize,,13.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena cineraria,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena cineraria,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena cineraria,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena cineraria,Active Flight Time,Derivation from literature (Table 1),2,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena cineraria,Bodysize,,14,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena denticulata,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena denticulata,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena denticulata,Diet,Functional traits derived from literature (Table 1),oligolectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena denticulata,Active Flight Time,Derivation from literature (Table 1),1.6,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena denticulata,Bodysize,,11,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena dorsata,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena dorsata,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena dorsata,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena dorsata,Active Flight Time,Derivation from literature (Table 1),3,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena dorsata,Bodysize,,9.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena flavipes,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena flavipes,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena flavipes,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena flavipes,Active Flight Time,Derivation from literature (Table 1),4.6,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena flavipes,Bodysize,,12,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena haemorrhoa,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena haemorrhoa,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena haemorrhoa,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena haemorrhoa,Active Flight Time,Derivation from literature (Table 1),2.3,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena haemorrhoa,Bodysize,,11,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena helvola,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena helvola,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena helvola,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena helvola,Active Flight Time,Derivation from literature (Table 1),2,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena helvola,Bodysize,,11.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nigroaenea,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nigroaenea,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nigroaenea,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nigroaenea,Active Flight Time,Derivation from literature (Table 1),2,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena nigroaenea,Bodysize,,14,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Adrena nigrospina,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Adrena nigrospina,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Adrena nigrospina,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Adrena nigrospina,Active Flight Time,Derivation from literature (Table 1),4.5,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Adrena nigrospina,Bodysize,,14,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nitida,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nitida,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nitida,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena nitida,Active Flight Time,Derivation from literature (Table 1),1.8,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena nitida,Bodysize,,15,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena semilaevis,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena semilaevis,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena semilaevis,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena semilaevis,Active Flight Time,Derivation from literature (Table 1),1.8,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena semilaevis,Bodysize,,6.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena subopaca,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena subopaca,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena subopaca,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena subopaca,Active Flight Time,Derivation from literature (Table 1),3.5,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena subopaca,Bodysize,,7,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena tibialis,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena tibialis,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena tibialis,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Andrena tibialis,Active Flight Time,Derivation from literature (Table 1),4,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Andrena tibialis,Bodysize,,14,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthidium punctatum,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting / Aboveground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthidium punctatum,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthidium punctatum,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthidium punctatum,Active Flight Time,Derivation from literature (Table 1),2.3,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anthidium punctatum,Bodysize,,8.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthophora furcata,Nesting behavior,Functional traits were derived from literature (Table 1),Aboveground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthophora furcata,Sociality,Derivation from literature,solitary,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthophora furcata,Diet,Functional traits derived from literature (Table 1),oligolectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthophora furcata,Active Flight Time,Derivation from literature (Table 1),1.8,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anthophora furcata,Bodysize,,11.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus bohemicus,Nesting behavior,Functional traits were derived from literature (Table 1),cleptoparasitic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus bohemicus,Sociality,Derivation from literature,kleptoparasitic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus bohemicus,Diet,Functional traits derived from literature (Table 1),/,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus bohemicus,Active Flight Time,Derivation from literature (Table 1),5.5,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus bohemicus,Bodysize,,24,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus hortorum,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting / Aboveground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus hortorum,Sociality,Derivation from literature,social,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus hortorum,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus hortorum,Active Flight Time,Derivation from literature (Table 1),5.5,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus hortorum,Bodysize,,19.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus hypnorum,Nesting behavior,Functional traits were derived from literature (Table 1),hyper,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus hypnorum,Sociality,Derivation from literature,social,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus hypnorum,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus hypnorum,Active Flight Time,Derivation from literature (Table 1),5.3,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus hypnorum,Bodysize,,18.5,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus lapidarius,Nesting behavior,Functional traits were derived from literature (Table 1),Belowground nesting / Aboveground nesting,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus lapidarius,Sociality,Derivation from literature,social,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus lapidarius,Diet,Functional traits derived from literature (Table 1),polylectic,months,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Bombus lapidarius,Active Flight Time,Derivation from literature (Table 1),6.6,months,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus lapidarius,Bodysize,,21,months,single observation,,both,adult,,,,,,,,,,,
