cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Helophilus trivittatus ,Migratory status ,yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hoplitis leucomelana,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena alfkenella,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Halictus rubicundus,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena subopaca,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Halictus subauratus,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hoplitis adunca,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena cineraria,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Megachile circumcincta,Nesting behavior,endogeic,Belowground nesting / Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Megachile circumcincta,Nesting behavior,hypergeic,Belowground nesting / Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Syrphus ribesii ,Migratory status ,yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chelostoma rapunculi,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bombus sylvarum,Nesting behavior,endogeic,Belowground nesting / Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bombus sylvarum,Nesting behavior,endogeic,Belowground nesting / Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bombus sylvarum,Nesting behavior,hypergeic,Belowground nesting / Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Syrphus vitripennis ,Migratory status ,yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pipiza festiva ,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bombus terrestris,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eristalis tenax ,Migratory status ,yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Halictus confusus,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chrysotoxum verralli,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Sphaerophoria scripta ,Migratory status ,yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena nigroaenea,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eristalis similis ,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum sexnotatum,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum morio,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Osmia bicornis,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum fulvicorne,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Syritta pipiens,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chrysotoxum bicinctum ,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Sericomyia silentis ,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Megachile maritima,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum sexstrigatum,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hylaeus gredleri,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bombus pratorum,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eristalis intricaria ,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum leucozonium,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Merodon equestris ,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Andrena barbilabris,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Scaeva selenitica ,Migratory status ,yes,1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hylaeus angustatus,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anthidium punctatum,Nesting behavior,"endogeic

",Belowground nesting / Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anthidium punctatum,Nesting behavior,hypergeic,Belowground nesting / Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum villosulum,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hylaeus dilatatus,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Sphaerophoria batava ,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum lucidulum,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Melitta leporina,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dasypoda hirtipes,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasioglossum albipes,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Eristalis abusiva ,Migratory status ,no,0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hylaeus signatus,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Megachile ligniseca,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Megachile rotundata,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hylaeus hyalinatus,Nesting behavior,hypergeic,Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Megachile versicolor,Nesting behavior,endogeic,Belowground nesting / Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Megachile versicolor,Nesting behavior,hypergeic,Belowground nesting / Aboveground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Macropis europaea,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bombus soroeensis,Nesting behavior,endogeic,Belowground nesting,,,moderate,predicted a different value for this trait
