basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
Occurrence,Amblyopone pallipes,Latitude,"FRANCOEUR (1965), BURRILL & SMITH (1919)",43.08,mm,max,,both,adult,,,,,,,,,,,
Occurrence,Amblyopone pallipes,Latitude,"FRANCOEUR (1965), BURRILL & SMITH (1919)",27.18,mm,min,,both,adult,,,,,,,,,,,
Occurrence,Amblyopone pallipes,Latitude,"FRANCOEUR (1965), BURRILL & SMITH (1919)",15.90,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Amblyopone pallipes,Elevation,"FRANCOEUR (1965), BURRILL & SMITH (1919)",1530,mm,max,,both,adult,,,,,,,,,,,
HumanObservation,Amblyopone pallipes,Elevation,"FRANCOEUR (1965), BURRILL & SMITH (1919)",379,mm,min,,both,adult,,,,,,,,,,,
HumanObservation,Amblyopone pallipes,Elevation,"FRANCOEUR (1965), BURRILL & SMITH (1919)",1151,mm,range,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amblyopone pallipes,Body size,"FRANCOEUR (1965), BURRILL & SMITH (1919)",1.78,mm,individual,,both,adult,,,,,,,,,,,
HumanObservation,Amblyopone pallipes,Colony size,"FRANCOEUR (1965), BURRILL & SMITH (1919)",12,mm,mode,,both,adult,,,,,,,,,,,
Occurrence,Tapinoma sessile,Latitude,BLACKER (1992),46.69,mm,max,,both,adult,,,,,,,,,,,
Occurrence,Tapinoma sessile,Latitude,BLACKER (1992),27.70,mm,min,,both,adult,,,,,,,,,,,
Occurrence,Tapinoma sessile,Latitude,BLACKER (1992),18.99,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sessile,Elevation,BLACKER (1992),656,mm,max,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sessile,Elevation,BLACKER (1992),511,mm,min,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sessile,Elevation,BLACKER (1992),145,mm,range,,both,adult,,,,,,,,,,,
PreservedSpecimen,Tapinoma sessile,Body size,BLACKER (1992),1.67,mm,individual,,both,adult,,,,,,,,,,,
HumanObservation,Tapinoma sessile,Colony size,BLACKER (1992),300,mm,mode,,both,adult,,,,,,,,,,,
Occurrence,"Brachymyrmex depilis EMERY, 1893",Latitude,GRUNDMANN (1952),50.10,mm,max,,both,adult,,,,,,,,,,,
Occurrence,"Brachymyrmex depilis EMERY, 1893",Latitude,GRUNDMANN (1952),27.18,mm,min,,both,adult,,,,,,,,,,,
Occurrence,"Brachymyrmex depilis EMERY, 1893",Latitude,GRUNDMANN (1952),22.92,mm,range,,both,adult,,,,,,,,,,,
HumanObservation,"Brachymyrmex depilis EMERY, 1893",Elevation,GRUNDMANN (1952),1443,mm,max,,both,adult,,,,,,,,,,,
HumanObservation,"Brachymyrmex depilis EMERY, 1893",Elevation,GRUNDMANN (1952),941,mm,min,,both,adult,,,,,,,,,,,
HumanObservation,"Brachymyrmex depilis EMERY, 1893",Elevation,GRUNDMANN (1952),502,mm,range,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Brachymyrmex depilis EMERY, 1893",Body size,GRUNDMANN (1952),0.44,mm,individual,,both,adult,,,,,,,,,,,
